水体要素编号,多边形编号,环编号,点序号,名称,水体类型,OSM编号,经度,纬度,x_m,y_m
WS005,1,1,22,未记录,一般水体,387841473,109.1177988,22.8759874,-11589.743321088517,-14676.044405169416
WS005,1,1,23,未记录,一般水体,387841473,109.1176271,22.8758292,-11607.345336854418,-14693.564126219091
WS005,1,1,24,未记录,一般水体,387841473,109.1175628,22.8758094,-11613.937122607882,-14695.75685995314
WS005,1,1,25,未记录,一般水体,387841473,109.1174018,22.8756216,-11630.442216017786,-14716.554607191747
WS005,1,1,26,未记录,一般水体,387841473,109.1174448,22.8755623,-11626.034023367565,-14723.121733982143
WS005,1,1,27,未记录,一般水体,387841473,109.1173697,22.8755129,-11633.732983088688,-14728.592493905122
WS005,1,1,28,未记录,一般水体,387841473,109.1171765,22.8756117,-11653.539095179698,-14717.65097405877
WS005,1,1,29,未记录,一般水体,387841473,109.1171122,22.875592,-11660.130880933164,-14719.832633380283
WS005,1,1,30,未记录,一般水体,387841473,109.1170478,22.8756513,-11666.732918296833,-14713.265506589887
WS005,1,1,31,未记录,一般水体,387841473,109.1168761,22.8756117,-11684.334934062734,-14717.65097405877
WS005,1,1,32,未记录,一般水体,387841473,109.1167474,22.8757699,-11697.528757179869,-14700.131253009095
WS005,1,1,33,未记录,一般水体,387841473,109.1165328,22.8758688,-11719.52871398433,-14689.178658750208
WS005,1,1,34,未记录,一般水体,387841473,109.1162968,22.8760862,-11743.722515503694,-14665.102885323064
WS005,1,1,35,未记录,一般水体,387841473,109.1160822,22.8762048,-11765.72247230961,-14651.968631742271
WS005,1,1,36,未记录,一般水体,387841473,109.1158676,22.8762048,-11787.72242911407,-14651.968631742271
WS005,1,1,37,未记录,一般水体,387841473,109.115653,22.8761653,-11809.722385919986,-14656.343024798225
WS005,1,1,38,未记录,一般水体,387841473,109.1156209,22.8761357,-11813.013152990887,-14659.621050987156
WS005,1,1,39,未记录,一般水体,387841473,109.1156209,22.876017,-11813.013152990887,-14672.766378980485
WS005,1,1,40,未记录,一般水体,387841473,109.1155458,22.8759478,-11820.712112710553,-14680.429872638299
WS005,1,1,41,未记录,一般水体,387841473,109.115417,22.8759478,-11833.91618743935,-14680.429872638299
WS005,1,1,42,未记录,一般水体,387841473,109.1153419,22.8758984,-11841.615147159016,-14685.900632561277
WS005,1,1,43,未记录,一般水体,387841473,109.1153097,22.8758292,-11844.91616584158,-14693.564126219091
WS005,1,1,44,未记录,一般水体,387841473,109.1152024,22.8758094,-11855.91614424381,-14695.75685995314
WS005,1,1,45,未记录,一般水体,387841473,109.1151702,22.8758786,-11859.217162926374,-14688.09336629572
WS005,1,1,46,未记录,一般水体,387841473,109.1150951,22.8759281,-11866.91612264604,-14682.611531959812
WS005,1,1,47,未记录,一般水体,387841473,109.1148162,22.8759281,-11895.507865203965,-14682.611531959812
WS005,1,1,48,未记录,一般水体,387841473,109.114666,22.8760071,-11910.905784646211,-14673.862745847902
WS005,1,1,49,未记录,一般水体,387841473,109.11443,22.8760071,-11935.099586165576,-14673.862745847902
WS005,1,1,50,未记录,一般水体,387841473,109.1143227,22.8759281,-11946.099564567805,-14682.611531959812
WS005,1,1,51,未记录,一般水体,387841473,109.1141725,22.8759083,-11961.497484010051,-14684.804265694253
WS005,1,1,52,未记录,一般水体,387841473,109.1141617,22.8758391,-11962.604657977708,-14692.467759351674
WS005,1,1,53,未记录,一般水体,387841473,109.1140866,22.8758094,-11970.303617698832,-14695.75685995314
WS005,1,1,54,未记录,一般水体,387841473,109.1140437,22.875849,-11974.701558737392,-14691.371392484649
WS005,1,1,55,未记录,一般水体,387841473,109.1139364,22.8758688,-11985.701537139621,-14689.178658750208
WS005,1,1,56,未记录,一般水体,387841473,109.1132927,22.875849,-12051.69115594425,-14691.371392484649
WS005,1,1,57,未记录,一般水体,387841473,109.1129065,22.8761851,-12091.282876905863,-14654.150291063785
WS005,1,1,58,未记录,一般水体,387841473,109.1127777,22.8762048,-12104.486951633204,-14651.968631742271
WS005,1,1,59,未记录,一般水体,387841473,109.1125202,22.8763432,-12130.884849476222,-14636.641644427036
WS005,1,1,60,未记录,一般水体,387841473,109.1124558,22.8762246,-12137.486886839892,-14649.775898007829
WS005,1,1,61,未记录,一般水体,387841473,109.1123056,22.8762048,-12152.884806282138,-14651.968631742271
WS005,1,1,62,未记录,一般水体,387841473,109.1121554,22.8762642,-12168.282725722927,-14645.390430538946
WS005,1,1,63,未记录,一般水体,387841473,109.1121125,22.8763432,-12172.680666762944,-14636.641644427036
WS005,1,1,64,未记录,一般水体,387841473,109.1120052,22.876363,-12183.680645165174,-14634.448910692596
WS005,1,1,65,未记录,一般水体,387841473,109.1115654,22.8768078,-12228.76722952134,-14585.189922558355
WS005,1,1,66,未记录,一般水体,387841473,109.1113508,22.8770846,-12250.767186327257,-14554.53594792828
WS005,1,1,67,未记录,一般水体,387841473,109.1112864,22.8771241,-12257.369223690926,-14550.161554872324
WS005,1,1,68,未记录,一般水体,387841473,109.1112649,22.8771835,-12259.573320016038,-14543.583353668999
WS005,1,1,69,未记录,一般水体,387841473,109.1113293,22.8772428,-12252.971282652366,-14537.016226878603
WS005,1,1,70,未记录,一般水体,387841473,109.1113079,22.8772823,-12255.165127365815,-14532.641833822649
WS005,1,1,71,未记录,一般水体,387841473,109.1113508,22.8773614,-12250.767186327257,-14523.88197329781
WS005,1,1,72,未记录,一般水体,387841473,109.1113508,22.8774405,-12250.767186327257,-14515.122112773364
WS005,1,1,73,未记录,一般水体,387841473,109.1112328,22.8774503,-12262.864087086939,-14514.036820318877
WS005,1,1,74,未记录,一般水体,387841473,109.1112006,22.8774998,-12266.165105768045,-14508.554985982968
WS005,1,1,75,未记录,一般水体,387841473,109.1112435,22.8775393,-12261.767164729486,-14504.180592927014
WS005,1,1,76,未记录,一般水体,387841473,109.1112006,22.8776975,-12266.165105768045,-14486.660871877339
WS005,1,1,77,未记录,一般水体,387841473,109.1112757,22.8777667,-12258.466146048379,-14478.997378219918
WS005,1,1,78,未记录,一般水体,387841473,109.1115117,22.8777271,-12234.272344529014,-14483.382845688408
WS005,1,1,79,未记录,一般水体,387841473,109.1117907,22.8777469,-12205.670350359427,-14481.190111953965
WS005,1,1,80,未记录,一般水体,387841473,109.1118336,22.8777074,-12201.272409320869,-14485.564505010314
WS005,1,1,81,未记录,一般水体,387841473,109.1118979,22.8777074,-12194.680623567403,-14485.564505010314
WS005,1,1,82,未记录,一般水体,387841473,109.1120481,22.8777469,-12179.282704126614,-14481.190111953965
WS005,1,1,83,未记录,一般水体,387841473,109.1121769,22.8778457,-12166.078629399273,-14470.248592107615
WS005,1,1,84,未记录,一般水体,387841473,109.1121984,22.877826,-12163.874533074162,-14472.430251429521
WS005,1,1,85,未记录,一般水体,387841473,109.1122305,22.8778556,-12160.583766003261,-14469.15222524059
WS005,1,1,86,未记录,一般水体,387841473,109.112252,22.8782313,-12158.37966967815,-14427.545656351234
WS005,1,1,87,未记录,一般水体,387841473,109.1120374,22.878429,-12180.37962648261,-14405.651542245605
WS005,1,1,88,未记录,一般水体,387841473,109.1119945,22.8785476,-12184.777567522626,-14392.51728866481
WS005,1,1,89,未记录,一般水体,387841473,109.1118443,22.8787453,-12200.175486963415,-14370.623174559574
WS005,1,1,90,未记录,一般水体,387841473,109.1118443,22.8788046,-12200.175486963415,-14364.056047769178
WS005,1,1,91,未记录,一般水体,387841473,109.1117585,22.8789034,-12208.971369041992,-14353.114527922828
WS005,1,1,92,未记录,一般水体,387841473,109.111737,22.8791407,-12211.175465365644,-14326.834946348312
WS005,1,1,93,未记录,一般水体,387841473,109.1117799,22.8792593,-12206.777524327086,-14313.70069276752
WS005,1,1,94,未记录,一般水体,387841473,109.1117799,22.8793779,-12206.777524327086,-14300.566439186727
WS005,1,1,95,未记录,一般水体,387841473,109.111855,22.8794669,-12199.078564605963,-14290.710211794865
WS005,1,1,96,未记录,一般水体,387841473,109.1120267,22.8795064,-12181.476548840063,-14286.33581873891
WS005,1,1,97,未记录,一般水体,387841473,109.1121554,22.8795855,-12168.282725722927,-14277.575958214073
WS005,1,1,98,未记录,一般水体,387841473,109.1122198,22.8795855,-12161.680688359256,-14277.575958214073
WS005,1,1,99,未记录,一般水体,387841473,109.1122413,22.8795459,-12159.476592035604,-14281.961425682955
WS005,1,1,100,未记录,一般水体,387841473,109.1123056,22.8795657,-12152.884806282138,-14279.768691948513
WS005,1,1,101,未记录,一般水体,387841473,109.1123593,22.879457,-12147.37969127592,-14291.806578662283
WS005,1,1,102,未记录,一般水体,387841473,109.112488,22.8793581,-12134.185868158786,-14302.759172921169
WS005,1,1,103,未记录,一般水体,387841473,109.112488,22.8793186,-12134.185868158786,-14307.133565977123
WS005,1,1,104,未记录,一般水体,387841473,109.1125524,22.8792593,-12127.583830795114,-14313.70069276752
WS005,1,1,105,未记录,一般水体,387841473,109.1125095,22.8791604,-12131.981771833674,-14324.6532870268
WS005,1,1,106,未记录,一般水体,387841473,109.1124237,22.8790813,-12140.777653912251,-14333.413147551639
WS005,1,1,107,未记录,一般水体,387841473,109.1124773,22.8790715,-12135.282790516238,-14334.498440006126
WS005,1,1,108,未记录,一般水体,387841473,109.1125846,22.8791308,-12124.282812112551,-14327.93131321573
WS005,1,1,109,未记录,一般水体,387841473,109.112649,22.8791308,-12117.680774748882,-14327.93131321573
WS005,1,1,110,未记录,一般水体,387841473,109.1129279,22.8788342,-12089.089032190957,-14360.778021580247
WS005,1,1,111,未记录,一般水体,387841473,109.1130137,22.8788342,-12080.293150113837,-14360.778021580247
WS005,1,1,112,未记录,一般水体,387841473,109.113121,22.8787749,-12069.293171710151,-14367.345148370643
WS005,1,1,113,未记录,一般水体,387841473,109.1133785,22.8787749,-12042.895273867132,-14367.345148370643
WS005,1,1,114,未记录,一般水体,387841473,109.1135931,22.878854,-12020.895317061217,-14358.585287845806
WS005,1,1,115,未记录,一般水体,387841473,109.1137433,22.8789924,-12005.497397620427,-14343.258300530571
WS005,1,1,116,未记录,一般水体,387841473,109.1138291,22.8789726,-11996.70151554185,-14345.451034265014
WS005,1,1,117,未记录,一般水体,387841473,109.1138935,22.8789133,-11990.099478178181,-14352.01816105541
WS005,1,1,118,未记录,一般水体,387841473,109.1141617,22.8787848,-11962.604657977708,-14366.24878150362
WS005,1,1,119,未记录,一般水体,387841473,109.1141617,22.8786464,-11962.604657977708,-14381.57576881846
WS005,1,1,120,未记录,一般水体,387841473,109.1137969,22.8783301,-12000.002534224413,-14416.604136504884
WS005,1,1,121,未记录,一般水体,387841473,109.1136789,22.8781818,-12012.099434984097,-14433.027490687144
WS005,1,1,122,未记录,一般水体,387841473,109.1135716,22.8781818,-12023.099413386326,-14433.027490687144
WS005,1,1,123,未记录,一般水体,387841473,109.1134858,22.8782411,-12031.895295463446,-14426.460363896747
WS005,1,1,124,未记录,一般水体,387841473,109.1134,22.8782411,-12040.691177542021,-14426.460363896747
WS005,1,1,125,未记录,一般水体,387841473,109.1133034,22.8781126,-12050.594233586799,-14440.690984344563
WS005,1,1,126,未记录,一般水体,387841473,109.1130674,22.8778952,-12074.788035106163,-14464.766757771707
WS005,1,1,127,未记录,一般水体,387841473,109.1130459,22.8777766,-12076.992131431274,-14477.9010113525
WS005,1,1,128,未记录,一般水体,387841473,109.1129386,22.8776382,-12087.992109833503,-14493.227998667735
WS005,1,1,129,未记录,一般水体,387841473,109.1129386,22.8775195,-12087.992109833503,-14506.373326661456
WS005,1,1,130,未记录,一般水体,387841473,109.1128957,22.8774207,-12092.39005087352,-14517.314846507807
WS005,1,1,131,未记录,一般水体,387841473,109.1128957,22.8772428,-12092.39005087352,-14537.016226878603
WS005,1,1,132,未记录,一般水体,387841473,109.1129494,22.8771933,-12086.884935865846,-14542.498061214905
WS005,1,1,133,未记录,一般水体,387841473,109.1130352,22.8771736,-12078.089053788726,-14544.679720536416
WS005,1,1,134,未记录,一般水体,387841473,109.1132712,22.8771538,-12053.895252269362,-14546.872454270859
WS005,1,1,135,未记录,一般水体,387841473,109.1134858,22.8771736,-12031.895295463446,-14544.679720536416
WS005,1,1,136,未记录,一般水体,387841473,109.1135716,22.8771933,-12023.099413386326,-14542.498061214905
WS005,1,1,137,未记录,一般水体,387841473,109.113636,22.8772527,-12016.497376022657,-14535.919860011578
WS005,1,1,138,未记录,一般水体,387841473,109.1137433,22.8772724,-12005.497397620427,-14533.738200690066
WS005,1,1,139,未记录,一般水体,387841473,109.113915,22.8772724,-11987.89538185307,-14533.738200690066
WS005,1,1,140,未记录,一般水体,387841473,109.1140437,22.8772131,-11974.701558737392,-14540.305327480462
WS005,1,1,141,未记录,一般水体,387841473,109.114151,22.8772131,-11963.701580333705,-14540.305327480462
WS005,1,1,142,未记录,一般水体,387841473,109.1141939,22.8771736,-11959.303639295145,-14544.679720536416
WS005,1,1,143,未记录,一般水体,387841473,109.1145802,22.8772329,-11919.70166672333,-14538.11259374602
WS005,1,1,144,未记录,一般水体,387841473,109.1147733,22.8773713,-11899.90580624398,-14522.785606430785
WS005,1,1,145,未记录,一般水体,387841473,109.1149235,22.8774108,-11884.507886801735,-14518.411213374831
WS005,1,1,146,未记录,一般水体,387841473,109.1151488,22.8775591,-11861.411007639823,-14501.987859192572
WS005,1,1,147,未记录,一般水体,387841473,109.1151702,22.8775986,-11859.217162926374,-14497.613466136618
WS005,1,1,148,未记录,一般水体,387841473,109.1151488,22.8776579,-11861.411007639823,-14491.046339346221
WS005,1,1,149,未记录,一般水体,387841473,109.11502,22.8777963,-11874.615082367163,-14475.719352030987
WS005,1,1,150,未记录,一般水体,387841473,109.1148698,22.8778556,-11890.013001809408,-14469.15222524059
WS005,1,1,151,未记录,一般水体,387841473,109.1148698,22.8779545,-11890.013001809408,-14458.199630981311
WS005,1,1,152,未记录,一般水体,387841473,109.1149127,22.8780138,-11885.615060769393,-14451.632504190915
WS005,1,1,153,未记录,一般水体,387841473,109.1148913,22.8781719,-11887.808905484299,-14434.123857554167
WS005,1,1,154,未记录,一般水体,387841473,109.1150093,22.8782214,-11875.712004724615,-14428.642023218259
WS005,1,1,155,未记录,一般水体,387841473,109.1151166,22.8783202,-11864.712026322386,-14417.700503371909
WS005,1,1,156,未记录,一般水体,387841473,109.1151917,22.8783301,-11857.013066601263,-14416.604136504884
WS005,1,1,157,未记录,一般水体,387841473,109.1151702,22.878429,-11859.217162926374,-14405.651542245605
WS005,1,1,158,未记录,一般水体,387841473,109.1154814,22.8787156,-11827.314150075681,-14373.91227516104
WS005,1,1,159,未记录,一般水体,387841473,109.1158462,22.8785575,-11789.916273828974,-14391.420921797788
WS005,1,1,160,未记录,一般水体,387841473,109.1160071,22.8784092,-11773.421432029276,-14407.844275980045
WS005,1,1,161,未记录,一般水体,387841473,109.1160071,22.8783301,-11773.421432029276,-14416.604136504884
WS005,1,1,162,未记录,一般水体,387841473,109.1161895,22.8782609,-11754.722493905923,-14424.267630162305
WS005,1,1,163,未记录,一般水体,387841473,109.1162109,22.8782016,-11752.528649192474,-14430.834756952701
WS005,1,1,164,未记录,一般水体,387841473,109.1163611,22.8782214,-11737.130729750228,-14428.642023218259
WS005,1,1,165,未记录,一般水体,387841473,109.1164041,22.8782016,-11732.722537101465,-14430.834756952701
WS005,1,1,166,未记录,一般水体,387841473,109.116447,22.8782411,-11728.324596062905,-14426.460363896747
WS005,1,1,167,未记录,一般水体,387841473,109.1165972,22.8782609,-11712.926676620658,-14424.267630162305
WS005,1,1,168,未记录,一般水体,387841473,109.1166937,22.8783499,-11703.033872186086,-14414.411402770442
WS005,1,1,169,未记录,一般水体,387841473,109.1167581,22.8784487,-11696.431834822417,-14403.469882924092
WS005,1,1,170,未记录,一般水体,387841473,109.1167152,22.8785278,-11700.829775860975,-14394.710022399253
WS005,1,1,171,未记录,一般水体,387841473,109.1167367,22.8786266,-11698.625679535866,-14383.768502552903
WS005,1,1,172,未记录,一般水体,387841473,109.1168547,22.8787551,-11686.528778776183,-14369.537882105085
WS005,1,1,173,未记录,一般水体,387841473,109.1170263,22.8787749,-11668.937014620487,-14367.345148370643
WS005,1,1,174,未记录,一般水体,387841473,109.1171122,22.8788342,-11660.130880933164,-14360.778021580247
WS005,1,1,175,未记录,一般水体,387841473,109.117198,22.8788342,-11651.334998854589,-14360.778021580247
WS005,1,1,176,未记录,一般水体,387841473,109.1172409,22.8789133,-11646.937057816029,-14352.01816105541
WS005,1,1,177,未记录,一般水体,387841473,109.1173053,22.8788935,-11640.335020452358,-14354.21089478985
WS005,1,1,178,未记录,一般水体,387841473,109.117316,22.878943,-11639.238098094906,-14348.729060453943
WS005,1,1,179,未记录,一般水体,387841473,109.1174126,22.8790319,-11629.335042050128,-14338.883907474617
WS005,1,1,180,未记录,一般水体,387841473,109.1174769,22.8790517,-11622.743256296662,-14336.691173740175
WS005,1,1,181,未记录,一般水体,387841473,109.1176057,22.8789528,-11609.539181569324,-14347.643767999454
WS005,1,1,182,未记录,一般水体,387841473,109.1176915,22.8789924,-11600.743299490747,-14343.258300530571
WS005,1,1,183,未记录,一般水体,387841473,109.1178203,22.8789924,-11587.539224763406,-14343.258300530571
WS005,1,1,184,未记录,一般水体,387841473,109.1179168,22.8789232,-11577.646420328834,-14350.921794188385
WS005,1,1,185,未记录,一般水体,387841473,109.1179168,22.8788639,-11577.646420328834,-14357.488920978782
WS005,1,1,186,未记录,一般水体,387841473,109.117949,22.8788342,-11574.345401647728,-14360.778021580247
WS005,1,1,187,未记录,一般水体,387841473,109.1180563,22.8788342,-11563.345423244042,-14360.778021580247
WS005,1,1,188,未记录,一般水体,387841473,109.1180992,22.8787947,-11558.947482205482,-14365.152414636203
WS005,1,1,189,未记录,一般水体,387841473,109.1183782,22.8788145,-11530.345488037352,-14362.95968090176
WS005,1,1,190,未记录,一般水体,387841473,109.1185284,22.8787947,-11514.947568595106,-14365.152414636203
WS005,1,1,191,未记录,一般水体,387841473,109.1186786,22.8788342,-11499.549649154318,-14360.778021580247
WS005,1,1,192,未记录,一般水体,387841473,109.1188073,22.8787354,-11486.355826037181,-14371.719541426599
WS005,1,1,193,未记录,一般水体,387841473,109.1189146,22.8787156,-11475.355847634952,-14373.91227516104
