区间编号,稳定区间,下界,上界,是否可行,最少架次数,累计作业时间（h）,总能耗（kWh）,组批签名
11,"(32.523762840%, 33.667017980%]",0.3252376284,0.336670179796,是,20,10.2459568841,74.2796719426,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'C', (0, 3, 0, 0)), ('S002', 'C', (1, 1, 2, 1)), ('S003', 'C', (0, 3, 0, 0)), ('S003', 'C', (1, 1, 2, 1)), ('S004', 'C', (0, 2, 0, 0)), ('S004', 'C', (1, 1, 1, 1)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'C', (0, 1, 1, 0)), ('S008', 'C', (1, 1, 0, 1)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'C', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
12,"(33.667017980%, 33.875071781%]",0.336670179796,0.338750717806,是,21,10.7098173839,74.0461484629,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'C', (0, 3, 0, 0)), ('S002', 'C', (1, 1, 2, 1)), ('S003', 'C', (0, 3, 0, 0)), ('S003', 'C', (1, 1, 2, 1)), ('S004', 'C', (0, 2, 0, 0)), ('S004', 'C', (1, 1, 1, 1)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'B', (0, 1, 0, 0)), ('S008', 'B', (1, 0, 0, 1)), ('S008', 'C', (0, 1, 1, 0)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'C', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
13,"(33.875071781%, 33.896917675%]",0.338750717806,0.338969176752,是,21,10.7098173839,74.0501943187,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'C', (0, 3, 0, 0)), ('S002', 'C', (1, 1, 2, 1)), ('S003', 'C', (0, 3, 0, 0)), ('S003', 'C', (1, 1, 2, 1)), ('S004', 'C', (0, 2, 0, 0)), ('S004', 'C', (1, 1, 1, 1)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'B', (0, 1, 0, 0)), ('S008', 'B', (1, 0, 1, 0)), ('S008', 'C', (0, 1, 0, 1)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'C', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
14,"(33.896917675%, 34.271414606%]",0.338969176752,0.342714146061,是,22,11.2327405238,76.1681219692,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'C', (0, 3, 0, 0)), ('S002', 'C', (1, 1, 2, 1)), ('S003', 'B', (1, 0, 2, 0)), ('S003', 'C', (0, 2, 0, 0)), ('S003', 'C', (0, 2, 0, 1)), ('S004', 'C', (0, 2, 0, 0)), ('S004', 'C', (1, 1, 1, 1)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'B', (0, 1, 0, 0)), ('S008', 'B', (1, 0, 1, 0)), ('S008', 'C', (0, 1, 0, 1)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'C', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
15,"(34.271414606%, 34.372401859%]",0.342714146061,0.343724018593,是,22,11.2327405238,76.1884198174,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'C', (0, 3, 0, 0)), ('S002', 'C', (1, 1, 2, 1)), ('S003', 'B', (1, 0, 2, 0)), ('S003', 'C', (0, 2, 0, 0)), ('S003', 'C', (0, 2, 0, 1)), ('S004', 'C', (0, 2, 0, 0)), ('S004', 'C', (1, 1, 1, 1)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'B', (0, 0, 1, 1)), ('S008', 'B', (0, 1, 0, 0)), ('S008', 'C', (1, 1, 0, 0)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'C', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
16,"(34.372401859%, 34.373531556%]",0.343724018593,0.343735315559,是,23,11.6605577135,76.0498670904,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'B', (0, 1, 0, 1)), ('S002', 'B', (0, 1, 1, 0)), ('S002', 'C', (1, 2, 1, 0)), ('S003', 'B', (1, 0, 2, 0)), ('S003', 'C', (0, 2, 0, 0)), ('S003', 'C', (0, 2, 0, 1)), ('S004', 'C', (0, 2, 0, 0)), ('S004', 'C', (1, 1, 1, 1)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'B', (0, 0, 1, 1)), ('S008', 'B', (0, 1, 0, 0)), ('S008', 'C', (1, 1, 0, 0)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'C', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
17,"(34.373531556%, 34.817587237%]",0.343735315559,0.348175872375,是,24,12.125621764,75.8775700535,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'B', (0, 1, 0, 1)), ('S002', 'B', (0, 1, 1, 0)), ('S002', 'C', (1, 2, 1, 0)), ('S003', 'B', (1, 0, 2, 0)), ('S003', 'C', (0, 2, 0, 0)), ('S003', 'C', (0, 2, 0, 1)), ('S004', 'B', (0, 0, 1, 1)), ('S004', 'B', (1, 1, 0, 0)), ('S004', 'C', (0, 2, 0, 0)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'B', (0, 0, 1, 1)), ('S008', 'B', (0, 1, 0, 0)), ('S008', 'C', (1, 1, 0, 0)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'C', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
18,"(34.817587237%, 35.117768018%]",0.348175872375,0.351177680183,是,25,12.5911489304,75.6203915809,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'B', (0, 1, 0, 1)), ('S002', 'B', (0, 1, 1, 0)), ('S002', 'C', (1, 2, 1, 0)), ('S003', 'B', (1, 0, 2, 0)), ('S003', 'C', (0, 2, 0, 0)), ('S003', 'C', (0, 2, 0, 1)), ('S004', 'B', (0, 0, 1, 1)), ('S004', 'B', (1, 1, 0, 0)), ('S004', 'C', (0, 2, 0, 0)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'B', (0, 0, 1, 0)), ('S008', 'B', (0, 1, 0, 0)), ('S008', 'B', (0, 1, 0, 0)), ('S008', 'B', (1, 0, 0, 1)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'C', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
19,"(35.117768018%, 35.240170331%]",0.351177680183,0.352401703308,是,25,12.6232081125,78.0707366666,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'B', (0, 1, 0, 1)), ('S002', 'B', (0, 1, 1, 0)), ('S002', 'C', (1, 2, 1, 0)), ('S003', 'B', (1, 0, 2, 0)), ('S003', 'C', (0, 2, 0, 0)), ('S003', 'C', (0, 2, 0, 1)), ('S004', 'B', (1, 1, 0, 0)), ('S004', 'C', (0, 1, 0, 1)), ('S004', 'C', (0, 1, 1, 0)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'B', (0, 0, 1, 0)), ('S008', 'B', (0, 1, 0, 0)), ('S008', 'B', (0, 1, 0, 0)), ('S008', 'B', (1, 0, 0, 1)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'C', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
20,"(35.240170331%, 35.339249720%]",0.352401703308,0.353392497198,是,25,12.6459505272,80.2730963997,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'B', (1, 0, 2, 0)), ('S002', 'C', (0, 2, 0, 0)), ('S002', 'C', (0, 2, 0, 1)), ('S003', 'B', (1, 0, 2, 0)), ('S003', 'C', (0, 2, 0, 0)), ('S003', 'C', (0, 2, 0, 1)), ('S004', 'B', (1, 1, 0, 0)), ('S004', 'C', (0, 1, 0, 1)), ('S004', 'C', (0, 1, 1, 0)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'B', (0, 0, 1, 0)), ('S008', 'B', (0, 1, 0, 0)), ('S008', 'B', (0, 1, 0, 0)), ('S008', 'B', (1, 0, 0, 1)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'C', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
21,"(35.339249720%, 100.000000000%)",0.353392497198,1,否,,,,"('INFEASIBLE',)"
