box_id,service_id,delivery_s,expected_s,hard_deadline_s,priority,type_id,aircraft_id,battery_id,route_index,flight_id
S001-HYG-02,S001,2941.82514745,10800,,8,C,U08,BAT-C-03,16,Q2-006
S001-MED-01,S001,2941.82514745,3600,3600,24,C,U08,BAT-C-03,16,Q2-006
S001-MED-02,S001,2941.82514745,3600,3600,24,C,U08,BAT-C-03,16,Q2-006
S001-WAT-01,S001,2941.82514745,3600,3600,12,C,U08,BAT-C-03,16,Q2-006
S001-WAT-07,S001,2941.82514745,3600,,12,C,U08,BAT-C-03,16,Q2-006
S001-WAT-08,S001,2941.82514745,3600,,12,C,U08,BAT-C-03,16,Q2-006
S014-FOD-01,S014,2999.15458564,7200,,10,B,U05,BAT-B-04,13,Q2-008
S014-MED-01,S014,2999.15458564,7200,3600,22,B,U05,BAT-B-04,13,Q2-008
S014-WAT-01,S014,2999.15458564,3600,3600,12,B,U05,BAT-B-04,13,Q2-008
S007-FOD-01,S007,3106.49271408,7200,,10,C,U07,BAT-C-04,15,Q2-007
S007-HYG-01,S007,3106.49271408,10800,,8,C,U07,BAT-C-04,15,Q2-007
S007-MED-01,S007,3106.49271408,3600,3600,24,C,U07,BAT-C-04,15,Q2-007
S007-WAT-01,S007,3106.49271408,3600,3600,12,C,U07,BAT-C-04,15,Q2-007
S007-WAT-02,S007,3106.49271408,3600,,12,C,U07,BAT-C-04,15,Q2-007
S011-FOD-01,S011,3733.26633948,14400,,6,C,U07,BAT-C-04,15,Q2-007
S011-MED-01,S011,3733.26633948,10800,10800,16,C,U07,BAT-C-04,15,Q2-007
S011-WAT-01,S011,3733.26633948,10800,10800,8,C,U07,BAT-C-04,15,Q2-007
S015-FOD-01,S015,4650.94218312,14400,,6,B,U06,BAT-B-02,9,Q2-010
S015-MED-01,S015,4650.94218312,7200,7200,18,B,U06,BAT-B-02,9,Q2-010
S015-WAT-01,S015,4650.94218312,10800,10800,8,B,U06,BAT-B-02,9,Q2-010
S009-FOD-01,S009,4717.29318882,14400,,6,B,U05,BAT-B-01,8,Q2-011
S009-MED-01,S009,4717.29318882,10800,10800,16,B,U05,BAT-B-01,8,Q2-011
S009-WAT-01,S009,4717.29318882,10800,10800,8,B,U05,BAT-B-01,8,Q2-011
S003-FOD-01,S003,4899.27652599,10800,,8,C,U08,BAT-C-02,3,Q2-009
S003-MED-01,S003,4899.27652599,7200,7200,20,C,U08,BAT-C-02,3,Q2-009
S003-WAT-01,S003,4899.27652599,7200,7200,10,C,U08,BAT-C-02,3,Q2-009
S003-WAT-02,S003,4899.27652599,7200,,10,C,U08,BAT-C-02,3,Q2-009
S003-WAT-03,S003,4899.27652599,7200,,10,C,U08,BAT-C-02,3,Q2-009
S003-WAT-04,S003,4899.27652599,7200,,10,C,U08,BAT-C-02,3,Q2-009
S004-FOD-01,S004,5621.10637287,10800,,8,C,U07,BAT-C-01,5,Q2-012
S004-HYG-01,S004,5621.10637287,14400,,6,C,U07,BAT-C-01,5,Q2-012
S004-MED-01,S004,5621.10637287,7200,7200,20,C,U07,BAT-C-01,5,Q2-012
S004-WAT-01,S004,5621.10637287,7200,7200,10,C,U07,BAT-C-01,5,Q2-012
S004-WAT-02,S004,5621.10637287,7200,,10,C,U07,BAT-C-01,5,Q2-012
S004-WAT-03,S004,5621.10637287,7200,,10,C,U07,BAT-C-01,5,Q2-012
S003-FOD-02,S003,6508.87601303,10800,,8,B,U05,BAT-B-04,4,Q2-013
S003-HYG-01,S003,6508.87601303,14400,,6,B,U05,BAT-B-04,4,Q2-013
S008-FOD-01,S008,7187.6011439,10800,,8,C,U08,BAT-C-03,7,Q2-014
S008-HYG-01,S008,7187.6011439,14400,,6,C,U08,BAT-C-03,7,Q2-014
S008-MED-01,S008,7187.6011439,7200,7200,20,C,U08,BAT-C-03,7,Q2-014
S008-WAT-01,S008,7187.6011439,7200,7200,10,C,U08,BAT-C-03,7,Q2-014
S008-WAT-02,S008,7187.6011439,7200,,10,C,U08,BAT-C-03,7,Q2-014
S002-FOD-01,S002,7825.99481529,7200,,10,C,U07,BAT-C-04,2,Q2-015
S002-FOD-02,S002,7825.99481529,7200,,10,C,U07,BAT-C-04,2,Q2-015
S002-HYG-01,S002,7825.99481529,10800,,8,C,U07,BAT-C-04,2,Q2-015
S002-WAT-02,S002,7825.99481529,3600,,12,C,U07,BAT-C-04,2,Q2-015
S002-WAT-03,S002,7825.99481529,3600,,12,C,U07,BAT-C-04,2,Q2-015
S002-WAT-04,S002,7825.99481529,3600,,12,C,U07,BAT-C-04,2,Q2-015
S001-FOD-01,S001,9418.39648961,7200,,10,C,U08,BAT-C-02,0,Q2-016
S001-WAT-02,S001,9418.39648961,3600,,12,C,U08,BAT-C-02,0,Q2-016
S001-WAT-03,S001,9418.39648961,3600,,12,C,U08,BAT-C-02,0,Q2-016
S001-WAT-04,S001,9418.39648961,3600,,12,C,U08,BAT-C-02,0,Q2-016
S001-WAT-05,S001,9418.39648961,3600,,12,C,U08,BAT-C-02,0,Q2-016
S001-WAT-06,S001,9418.39648961,3600,,12,C,U08,BAT-C-02,0,Q2-016
S005-FOD-01,S005,10211.6260416,14400,,6,C,U07,BAT-C-01,6,Q2-017
S005-HYG-01,S005,10211.6260416,18000,,4,C,U07,BAT-C-01,6,Q2-017
S005-MED-01,S005,10211.6260416,10800,10800,16,C,U07,BAT-C-01,6,Q2-017
S005-WAT-01,S005,10211.6260416,10800,10800,8,C,U07,BAT-C-01,6,Q2-017
S005-WAT-02,S005,10211.6260416,10800,,8,C,U07,BAT-C-01,6,Q2-017
S005-WAT-03,S005,10211.6260416,10800,,8,C,U07,BAT-C-01,6,Q2-017
