table,field,dtype,description,missing_count
transport_types,up_mps,float64,爬升速度，m/s,0
transport_types,down_mps,float64,下降速度，m/s,0
transport_types,up_efficiency,float64,爬升能耗效率,0
transport_types,down_efficiency,int64,下降能耗效率，题目为0,0
transport_types,source_file,str,来源文件相对路径,0
transport_types,source_sheet,str,来源工作表,0
transport_types,source_row,int64,来源Excel行号，1起,0
transport_fleet,aircraft_id,str,附件逐架实体无人机编号,0
transport_fleet,type_id,str,机型编号,0
transport_fleet,initial_node,str,初始所在节点,0
transport_fleet,source_file,str,来源文件相对路径,0
transport_fleet,source_sheet,str,来源工作表,0
transport_fleet,source_row,int64,来源Excel行号，1起,0
transport_battery_inventory,type_id,str,机型编号,0
transport_battery_inventory,resource_count,int64,能源资源库存总数，已包含初始装机资源,0
transport_battery_inventory,full_charge_s,int64,等效完全充电时间，秒,0
transport_battery_inventory,source_file,str,来源文件相对路径,0
transport_battery_inventory,source_sheet,str,来源工作表,0
transport_battery_inventory,source_row,int64,来源Excel行号，1起,0
relay_types,type_id,str,机型编号,0
relay_types,type_name,str,附件机型名称,0
relay_types,empty_mass_kg,int64,含电池/能源组件的空载总质量，kg,0
relay_types,module_mass_kg,float64,中继通信模块质量，kg,0
relay_types,takeoff_mass_kg,float64,中继计划起飞总质量，kg,0
relay_types,cruise_mps,int64,计划水平巡航速度，m/s,0
relay_types,cruise_power_kw,float64,中继巡航功率，kW,0
relay_types,energy_kwh,float64,电池/组件可用能量，kWh,0
relay_types,reserve_fraction,float64,返航SOC下限比例，0至1,0
relay_types,prepare_s,int64,工位固定准备时间，秒,0
relay_types,link_setup_s,int64,中继建链时间，秒,0
relay_types,turnaround_s,int64,中继架次周转时间，秒,0
relay_types,up_mps,int64,爬升速度，m/s,0
relay_types,down_mps,int64,下降速度，m/s,0
relay_types,up_efficiency,float64,爬升能耗效率,0
relay_types,down_efficiency,int64,下降能耗效率，题目为0,0
relay_types,hover_power_kw,float64,悬停功率，kW,0
relay_types,comm_power_kw,float64,通信附加功率，kW,0
relay_types,max_agl_m,int64,最大悬停离地高度，米,0
relay_types,source_file,str,来源文件相对路径,0
relay_types,source_sheet,str,来源工作表,0
relay_types,source_row,int64,来源Excel行号，1起,0
relay_fleet,aircraft_id,str,附件逐架实体无人机编号,0
relay_fleet,type_id,str,机型编号,0
relay_fleet,initial_node,str,初始所在节点,0
relay_fleet,source_file,str,来源文件相对路径,0
relay_fleet,source_sheet,str,来源工作表,0
relay_fleet,source_row,int64,来源Excel行号，1起,0
relay_energy_inventory,type_id,str,机型编号,0
relay_energy_inventory,resource_count,int64,能源资源库存总数，已包含初始装机资源,0
relay_energy_inventory,full_charge_s,int64,等效完全充电时间，秒,0
relay_energy_inventory,source_file,str,来源文件相对路径,0
relay_energy_inventory,source_sheet,str,来源工作表,0
relay_energy_inventory,source_row,int64,来源Excel行号，1起,0
energy_resources,resource_id,str,为求解器生成的电池/能源组件编号，非附件原始编号,0
energy_resources,type_id,str,机型编号,0
energy_resources,resource_kind,str,transport_battery或relay_energy,0
energy_resources,id_generated,bool,是否为预处理生成编号,0
energy_resources,initial_soc,float64,初始SOC，比例，1表示100%,0
energy_resources,initial_node,str,初始所在节点,0
energy_resources,full_charge_s,int64,等效完全充电时间，秒,0
communication_parameters,category,str,原始参数类别,0
communication_parameters,parameter,str,原始参数名称，含单位,0
communication_parameters,symbol,str,原始参数符号,0
communication_parameters,value,int64,原始参数值,0
communication_parameters,source_file,str,来源文件相对路径,0
communication_parameters,source_sheet,str,来源工作表,0
communication_parameters,source_row,int64,来源Excel行号，1起,0
service_demand_summary,service_id,str,所属服务区编号,0
service_demand_summary,total_boxes,int64,总需求箱数,0
service_demand_summary,total_mass_kg,int64,总需求质量，kg,0
service_demand_summary,total_volume_m3,float64,总需求体积，立方米,0
service_demand_summary,first_boxes,int64,首批保障箱数,0
service_demand_summary,hard_boxes,int64,有硬时限的箱数,0
service_demand_summary,medical_boxes,int64,医疗箱数,0
service_demand_summary,earliest_hard_s,float64,最早硬截止时刻，秒,0
nodes,node_id,str,节点编号；保留附件O01/S001等原始编号,0
nodes,node_name,str,原始节点名称,0
nodes,node_type,str,depot调度中心/service服务区,0
nodes,lon_deg,float64,WGS84经度，度,0
nodes,lat_deg,float64,WGS84纬度，度,0
nodes,ground_m,float64,附件给定地面海拔，米；不以DEM替换,0
nodes,population,float64,本次需保障人口；调度中心不适用,1
nodes,source_file,str,来源文件相对路径,0
nodes,source_sheet,str,来源工作表,0
nodes,source_row,int64,来源Excel行号，1起,0
nodes,x_m,float64,相对O01向东坐标，米,0
nodes,y_m,float64,相对O01向北坐标，米,0
nodes,operation_alt_m,float64,作业海拔，O01为地面，服务区为地面+30米,0
nodes,dem_row,int64,DEM行索引，0起，北向南递增,0
nodes,dem_col,int64,DEM列索引，0起，西向东递增,0
nodes,dem_nearest_m,float64,包含该节点的DEM像元高程，米,0
nodes,dem_bilinear_m,float64,像元中心双线性插值高程，米，仅供比对,0
nodes,dem_minus_given_m,float64,DEM像元高程减附件给定海拔，米,0
arcs,from_id,str,航段起点编号,0
arcs,to_id,str,航段终点编号,0
arcs,distance_m,float64,本地米制投影下水平直线距离，米,0
arcs,geodesic_m,float64,WGS84椭球测地距离，仅作投影误差参照，米,0
arcs,projection_relative_error,float64,本地距离/测地距离-1,0
arcs,terrain_max_m,float64,航段穿越闭像元集合的最大DEM高程，米,0
arcs,cruise_alt_m,float64,计划巡航海拔=沿线最高DEM+50米,0
arcs,climb_m,float64,从起点作业高度到巡航海拔的爬升，米,0
arcs,descent_m,float64,从巡航海拔到终点作业高度的下降，米,0
arcs,cell_count,int64,保守supercover遍历的像元数量,0
terrain_profiles,from_id,str,航段起点编号,0
terrain_profiles,to_id,str,航段终点编号,0
terrain_profiles,row,int64,像元行，0起,0
terrain_profiles,col,int64,像元列，0起,0
terrain_profiles,t_enter,float64,"进入像元时沿线比例[0,1]",0
terrain_profiles,t_exit,float64,"离开像元时沿线比例[0,1]",0
terrain_profiles,terrain_m,float64,像元DEM高程，米,0
arc_type_coefficients,from_id,str,航段起点编号,0
arc_type_coefficients,to_id,str,航段终点编号,0
arc_type_coefficients,type_id,str,机型编号,0
arc_type_coefficients,flight_s,float64,仅飞行时间，爬升+巡航+下降；不含准备装载交接,0
arc_type_coefficients,horizontal_energy_factor,float64,distance_m/range(q)的分子energy_kwh*distance_m，kWh*m,0
arc_type_coefficients,climb_energy_per_kg,float64,g*climb/(eff*3.6e6)，kWh/kg，推导能耗约定,0
distance_matrix_m,from_id,str,航段起点编号,0
distance_matrix_m,O01,float64,起点由from_id指定，终点O01的distance_matrix_m值；单位m，对角线0为占位,0
distance_matrix_m,S001,float64,起点由from_id指定，终点S001的distance_matrix_m值；单位m，对角线0为占位,0
distance_matrix_m,S002,float64,起点由from_id指定，终点S002的distance_matrix_m值；单位m，对角线0为占位,0
distance_matrix_m,S003,float64,起点由from_id指定，终点S003的distance_matrix_m值；单位m，对角线0为占位,0
distance_matrix_m,S004,float64,起点由from_id指定，终点S004的distance_matrix_m值；单位m，对角线0为占位,0
distance_matrix_m,S005,float64,起点由from_id指定，终点S005的distance_matrix_m值；单位m，对角线0为占位,0
distance_matrix_m,S006,float64,起点由from_id指定，终点S006的distance_matrix_m值；单位m，对角线0为占位,0
distance_matrix_m,S007,float64,起点由from_id指定，终点S007的distance_matrix_m值；单位m，对角线0为占位,0
distance_matrix_m,S008,float64,起点由from_id指定，终点S008的distance_matrix_m值；单位m，对角线0为占位,0
distance_matrix_m,S009,float64,起点由from_id指定，终点S009的distance_matrix_m值；单位m，对角线0为占位,0
distance_matrix_m,S010,float64,起点由from_id指定，终点S010的distance_matrix_m值；单位m，对角线0为占位,0
distance_matrix_m,S011,float64,起点由from_id指定，终点S011的distance_matrix_m值；单位m，对角线0为占位,0
distance_matrix_m,S012,float64,起点由from_id指定，终点S012的distance_matrix_m值；单位m，对角线0为占位,0
distance_matrix_m,S013,float64,起点由from_id指定，终点S013的distance_matrix_m值；单位m，对角线0为占位,0
distance_matrix_m,S014,float64,起点由from_id指定，终点S014的distance_matrix_m值；单位m，对角线0为占位,0
distance_matrix_m,S015,float64,起点由from_id指定，终点S015的distance_matrix_m值；单位m，对角线0为占位,0
cruise_altitude_matrix_m,from_id,str,航段起点编号,0
cruise_altitude_matrix_m,O01,float64,起点由from_id指定，终点O01的cruise_altitude_matrix_m值；单位m，对角线0为占位,0
cruise_altitude_matrix_m,S001,float64,起点由from_id指定，终点S001的cruise_altitude_matrix_m值；单位m，对角线0为占位,0
cruise_altitude_matrix_m,S002,float64,起点由from_id指定，终点S002的cruise_altitude_matrix_m值；单位m，对角线0为占位,0
cruise_altitude_matrix_m,S003,float64,起点由from_id指定，终点S003的cruise_altitude_matrix_m值；单位m，对角线0为占位,0
cruise_altitude_matrix_m,S004,float64,起点由from_id指定，终点S004的cruise_altitude_matrix_m值；单位m，对角线0为占位,0
cruise_altitude_matrix_m,S005,float64,起点由from_id指定，终点S005的cruise_altitude_matrix_m值；单位m，对角线0为占位,0
cruise_altitude_matrix_m,S006,float64,起点由from_id指定，终点S006的cruise_altitude_matrix_m值；单位m，对角线0为占位,0
cruise_altitude_matrix_m,S007,float64,起点由from_id指定，终点S007的cruise_altitude_matrix_m值；单位m，对角线0为占位,0
cruise_altitude_matrix_m,S008,float64,起点由from_id指定，终点S008的cruise_altitude_matrix_m值；单位m，对角线0为占位,0
cruise_altitude_matrix_m,S009,float64,起点由from_id指定，终点S009的cruise_altitude_matrix_m值；单位m，对角线0为占位,0
cruise_altitude_matrix_m,S010,float64,起点由from_id指定，终点S010的cruise_altitude_matrix_m值；单位m，对角线0为占位,0
cruise_altitude_matrix_m,S011,float64,起点由from_id指定，终点S011的cruise_altitude_matrix_m值；单位m，对角线0为占位,0
cruise_altitude_matrix_m,S012,float64,起点由from_id指定，终点S012的cruise_altitude_matrix_m值；单位m，对角线0为占位,0
cruise_altitude_matrix_m,S013,float64,起点由from_id指定，终点S013的cruise_altitude_matrix_m值；单位m，对角线0为占位,0
cruise_altitude_matrix_m,S014,float64,起点由from_id指定，终点S014的cruise_altitude_matrix_m值；单位m，对角线0为占位,0
cruise_altitude_matrix_m,S015,float64,起点由from_id指定，终点S015的cruise_altitude_matrix_m值；单位m，对角线0为占位,0
climb_matrix_m,from_id,str,航段起点编号,0
climb_matrix_m,O01,float64,起点由from_id指定，终点O01的climb_matrix_m值；单位m，对角线0为占位,0
climb_matrix_m,S001,float64,起点由from_id指定，终点S001的climb_matrix_m值；单位m，对角线0为占位,0
climb_matrix_m,S002,float64,起点由from_id指定，终点S002的climb_matrix_m值；单位m，对角线0为占位,0
climb_matrix_m,S003,float64,起点由from_id指定，终点S003的climb_matrix_m值；单位m，对角线0为占位,0
climb_matrix_m,S004,float64,起点由from_id指定，终点S004的climb_matrix_m值；单位m，对角线0为占位,0
climb_matrix_m,S005,float64,起点由from_id指定，终点S005的climb_matrix_m值；单位m，对角线0为占位,0
climb_matrix_m,S006,float64,起点由from_id指定，终点S006的climb_matrix_m值；单位m，对角线0为占位,0
climb_matrix_m,S007,float64,起点由from_id指定，终点S007的climb_matrix_m值；单位m，对角线0为占位,0
climb_matrix_m,S008,float64,起点由from_id指定，终点S008的climb_matrix_m值；单位m，对角线0为占位,0
climb_matrix_m,S009,float64,起点由from_id指定，终点S009的climb_matrix_m值；单位m，对角线0为占位,0
climb_matrix_m,S010,float64,起点由from_id指定，终点S010的climb_matrix_m值；单位m，对角线0为占位,0
climb_matrix_m,S011,float64,起点由from_id指定，终点S011的climb_matrix_m值；单位m，对角线0为占位,0
climb_matrix_m,S012,float64,起点由from_id指定，终点S012的climb_matrix_m值；单位m，对角线0为占位,0
climb_matrix_m,S013,float64,起点由from_id指定，终点S013的climb_matrix_m值；单位m，对角线0为占位,0
climb_matrix_m,S014,float64,起点由from_id指定，终点S014的climb_matrix_m值；单位m，对角线0为占位,0
climb_matrix_m,S015,float64,起点由from_id指定，终点S015的climb_matrix_m值；单位m，对角线0为占位,0
descent_matrix_m,from_id,str,航段起点编号,0
descent_matrix_m,O01,float64,起点由from_id指定，终点O01的descent_matrix_m值；单位m，对角线0为占位,0
descent_matrix_m,S001,float64,起点由from_id指定，终点S001的descent_matrix_m值；单位m，对角线0为占位,0
descent_matrix_m,S002,float64,起点由from_id指定，终点S002的descent_matrix_m值；单位m，对角线0为占位,0
descent_matrix_m,S003,float64,起点由from_id指定，终点S003的descent_matrix_m值；单位m，对角线0为占位,0
descent_matrix_m,S004,float64,起点由from_id指定，终点S004的descent_matrix_m值；单位m，对角线0为占位,0
descent_matrix_m,S005,float64,起点由from_id指定，终点S005的descent_matrix_m值；单位m，对角线0为占位,0
descent_matrix_m,S006,float64,起点由from_id指定，终点S006的descent_matrix_m值；单位m，对角线0为占位,0
descent_matrix_m,S007,float64,起点由from_id指定，终点S007的descent_matrix_m值；单位m，对角线0为占位,0
descent_matrix_m,S008,float64,起点由from_id指定，终点S008的descent_matrix_m值；单位m，对角线0为占位,0
descent_matrix_m,S009,float64,起点由from_id指定，终点S009的descent_matrix_m值；单位m，对角线0为占位,0
descent_matrix_m,S010,float64,起点由from_id指定，终点S010的descent_matrix_m值；单位m，对角线0为占位,0
descent_matrix_m,S011,float64,起点由from_id指定，终点S011的descent_matrix_m值；单位m，对角线0为占位,0
descent_matrix_m,S012,float64,起点由from_id指定，终点S012的descent_matrix_m值；单位m，对角线0为占位,0
descent_matrix_m,S013,float64,起点由from_id指定，终点S013的descent_matrix_m值；单位m，对角线0为占位,0
descent_matrix_m,S014,float64,起点由from_id指定，终点S014的descent_matrix_m值；单位m，对角线0为占位,0
descent_matrix_m,S015,float64,起点由from_id指定，终点S015的descent_matrix_m值；单位m，对角线0为占位,0
spatial/settlements,点位编号,str,保留原始地理数据字段：点位编号,0
spatial/settlements,名称,str,保留原始地理数据字段：名称,0
spatial/settlements,类别,str,保留原始地理数据字段：类别,0
spatial/settlements,OSM编号,int64,保留原始地理数据字段：OSM编号,0
spatial/settlements,位置,str,保留原始地理数据字段：位置,0
spatial/settlements,经度,float64,保留原始地理数据字段：经度,0
spatial/settlements,纬度,float64,保留原始地理数据字段：纬度,0
spatial/settlements,x_m,float64,相对O01向东坐标，米,0
spatial/settlements,y_m,float64,相对O01向北坐标，米,0
spatial/waterbodies,水体要素编号,str,保留原始地理数据字段：水体要素编号,0
spatial/waterbodies,多边形编号,int64,保留原始地理数据字段：多边形编号,0
spatial/waterbodies,环编号,int64,保留原始地理数据字段：环编号,0
spatial/waterbodies,点序号,int64,保留原始地理数据字段：点序号,0
spatial/waterbodies,名称,str,保留原始地理数据字段：名称,0
spatial/waterbodies,水体类型,str,保留原始地理数据字段：水体类型,0
spatial/waterbodies,OSM编号,int64,保留原始地理数据字段：OSM编号,0
spatial/waterbodies,经度,float64,保留原始地理数据字段：经度,0
spatial/waterbodies,纬度,float64,保留原始地理数据字段：纬度,0
spatial/waterbodies,x_m,float64,相对O01向东坐标，米,0
spatial/waterbodies,y_m,float64,相对O01向北坐标，米,0
spatial/rivers,水系要素编号,str,保留原始地理数据字段：水系要素编号,0
spatial/rivers,点序号,int64,保留原始地理数据字段：点序号,0
spatial/rivers,名称,str,保留原始地理数据字段：名称,0
spatial/rivers,水系类型,str,保留原始地理数据字段：水系类型,0
spatial/rivers,OSM编号,int64,保留原始地理数据字段：OSM编号,0
spatial/rivers,长度_km,float64,保留原始地理数据字段：长度_km,0
spatial/rivers,经度,float64,保留原始地理数据字段：经度,0
spatial/rivers,纬度,float64,保留原始地理数据字段：纬度,0
spatial/rivers,x_m,float64,相对O01向东坐标，米,0
spatial/rivers,y_m,float64,相对O01向北坐标，米,0
spatial/roads,道路要素编号,str,保留原始地理数据字段：道路要素编号,0
spatial/roads,点序号,int64,保留原始地理数据字段：点序号,0
spatial/roads,名称,str,保留原始地理数据字段：名称,0
spatial/roads,道路类型,str,保留原始地理数据字段：道路类型,0
spatial/roads,OSM编号,int64,保留原始地理数据字段：OSM编号,0
spatial/roads,经度,float64,保留原始地理数据字段：经度,0
spatial/roads,纬度,float64,保留原始地理数据字段：纬度,0
spatial/roads,x_m,float64,相对O01向东坐标，米,0
spatial/roads,y_m,float64,相对O01向北坐标，米,0
geographic_layer_inventory,layer,str,地理图层英文标识,0
geographic_layer_inventory,source_file,str,来源文件相对路径,0
geographic_layer_inventory,vertex_rows,int64,顶点记录行数；点图层为点数,0
geographic_layer_inventory,feature_count,int64,按原始要素编号去重的要素数,0
communication_budgets,link_type,str,direct直连/relay_access中继接入/relay_backhaul中继回传,0
communication_budgets,endpoint_a,str,链路端点A类别,0
communication_budgets,endpoint_b,str,链路端点B类别,0
communication_budgets,a_to_b_limit_db,float64,A发B收方向允许传播损耗，dB,0
communication_budgets,b_to_a_limit_db,float64,B发A收方向允许传播损耗，dB,0
communication_budgets,bidirectional_limit_db,float64,双向允许传播损耗，dB,0
communication_budgets,los_range_km,float64,无地形遮挡时预算距离上限，km，非实际覆盖半径,0
communication_budgets,obstructed_range_km,float64,有遮挡附加损耗时预算距离上限，km，非实际覆盖半径,0
service_direct_link_screening,service_id,str,所属服务区编号,0
service_direct_link_screening,operation_alt_m,float64,作业海拔，O01为地面，服务区为地面+30米,0
service_direct_link_screening,gateway_alt_m,float64,固定网关天线海拔，米,0
service_direct_link_screening,distance_3d_km,float64,通信端点三维直线距离，km,0
service_direct_link_screening,terrain_obstructed,bool,视线是否被DEM地形遮挡；真只增加附加损耗，不直接等于断链,0
service_direct_link_screening,los_min_clearance_m,float64,通信视线相对分片常值DEM的最小净空，米,0
service_direct_link_screening,path_loss_db,float64,自由空间损耗加地形遮挡附加损耗，dB,0
service_direct_link_screening,link_margin_db,float64,双向允许损耗减实际传播损耗，dB；非负可用,0
service_direct_link_screening,direct_available,bool,仅服务区30米作业高度处的静态直连筛查，不代表全航程通信可行,0
charging_curve,type_id,str,机型编号,0
charging_curve,soc,float64,剩余SOC，0至1,0
charging_curve,charge_to_full_s,float64,按题目两阶段模型补至100%的时间，秒,0
quality_checks,check,str,检查项目,0
quality_checks,passed,bool,该检查是否通过,0
quality_checks,severity,str,失败时级别；error阻断，warning仅提示,0
quality_checks,detail,str,检查详情；通过且无补充说明时为空,0
