scenario,group_id,task_class,task_id,resource_class,local_resource_id,occupied_start_s,occupied_end_s,available_again_s
3组,G3,运输架次,Q3-T-009,运输电池B,3组-G3-BATB-01,1212.67946544,2723.19105422,4180.61660375
3组,G3,运输架次,Q3-T-017,运输机B,3组-G3-UB-01,4752.06342071,5940.48818355,5940.48818355
3组,G3,运输架次,Q3-T-017,运输电池B,3组-G3-BATB-01,4752.06342071,5940.48818355,7072.52741426
3组,G3,运输架次,Q3-T-008,运输机C,3组-G3-UC-01,5.4094540827,1608.141819,1608.141819
3组,G3,运输架次,Q3-T-008,运输电池C,3组-G3-BATC-01,5.4094540827,1608.141819,3294.56241067
3组,G3,运输架次,Q3-T-013,运输机C,3组-G3-UC-01,3690.05892162,5991.11364043,5991.11364043
3组,G3,运输架次,Q3-T-013,运输电池C,3组-G3-BATC-01,3690.05892162,5991.11364043,8490.84659202
3组,G3,中继架次,Q3-R-001,中继无人机,3组-G3-R-01,1,3608.87268139,3908.87268139
3组,G3,中继架次,Q3-R-001,中继能源组件,3组-G3-RE-01,1,3608.87268139,4514.10659103
3组,G3,中继架次,Q3-R-004,中继无人机,3组-G3-R-01,3909.87268139,6055.15734599,6355.15734599
3组,G3,中继架次,Q3-R-004,中继能源组件,3组-G3-RE-02,3909.87268139,6055.15734599,6782.21447044
