box_id,trip_id,service_id,material_type,is_urgent,first_batch,priority_weight,delivery_time_s,required_deadline_s,lateness_s,on_time
S005-FOD-01,T020,S005,应急食品,False,False,6.0,7652.102543776399,14400.0,0.0,True
S005-HYG-01,T022,S005,生活卫生用品,False,False,4.0,9349.315310752285,18000.0,0.0,True
S005-MED-01,T020,S005,医疗物资,True,True,16.0,7652.102543776399,10800.0,0.0,True
S005-WAT-01,T020,S005,饮用水,True,True,8.0,7652.102543776399,10800.0,0.0,True
S005-WAT-02,T022,S005,饮用水,False,False,8.0,9349.315310752285,10800.0,0.0,True
S005-WAT-03,T022,S005,饮用水,False,False,8.0,9349.315310752285,10800.0,0.0,True
S006-FOD-01,T010,S006,应急食品,False,False,10.0,2837.6769030336245,7200.0,0.0,True
S006-HYG-01,T010,S006,生活卫生用品,False,False,8.0,2837.6769030336245,10800.0,0.0,True
S006-MED-01,T010,S006,医疗物资,True,True,24.0,2837.6769030336245,3600.0,0.0,True
S006-WAT-01,T010,S006,饮用水,True,True,12.0,2837.6769030336245,3600.0,0.0,True
S006-WAT-02,T010,S006,饮用水,False,False,12.0,2837.6769030336245,3600.0,0.0,True
S006-WAT-03,T010,S006,饮用水,False,False,12.0,2837.6769030336245,3600.0,0.0,True
S007-FOD-01,T016,S007,应急食品,False,False,10.0,5883.037591782699,7200.0,0.0,True
S007-HYG-01,T023,S007,生活卫生用品,False,False,8.0,9125.770710607627,10800.0,0.0,True
S007-MED-01,T005,S007,医疗物资,True,True,24.0,1073.9140621272509,3600.0,0.0,True
S007-WAT-01,T006,S007,饮用水,True,True,12.0,1073.9140621272509,3600.0,0.0,True
S007-WAT-02,T007,S007,饮用水,False,False,12.0,1073.9140621272509,3600.0,0.0,True
S008-FOD-01,T017,S008,应急食品,False,False,8.0,7054.86126740502,10800.0,0.0,True
S008-HYG-01,T025,S008,生活卫生用品,False,False,6.0,10816.575660484717,14400.0,0.0,True
S008-MED-01,T017,S008,医疗物资,True,True,20.0,7054.86126740502,7200.0,0.0,True
S008-WAT-01,T017,S008,饮用水,True,True,10.0,7054.86126740502,7200.0,0.0,True
S008-WAT-02,T017,S008,饮用水,False,False,10.0,7054.86126740502,7200.0,0.0,True
S009-FOD-01,T018,S009,应急食品,False,False,6.0,6596.675084885833,14400.0,0.0,True
S009-MED-01,T018,S009,医疗物资,True,True,16.0,6596.675084885833,10800.0,0.0,True
S009-WAT-01,T018,S009,饮用水,True,True,8.0,6596.675084885833,10800.0,0.0,True
S010-FOD-01,T003,S010,应急食品,False,False,10.0,1085.2264495822315,7200.0,0.0,True
S010-MED-01,T003,S010,医疗物资,True,True,24.0,1085.2264495822315,3600.0,0.0,True
S010-WAT-01,T003,S010,饮用水,True,True,12.0,1085.2264495822315,3600.0,0.0,True
S011-FOD-01,T019,S011,应急食品,False,False,6.0,7210.826764063554,14400.0,0.0,True
S011-MED-01,T019,S011,医疗物资,True,True,16.0,7210.826764063554,10800.0,0.0,True
S011-WAT-01,T019,S011,饮用水,True,True,8.0,7210.826764063554,10800.0,0.0,True
S012-FOD-01,T004,S012,应急食品,False,False,10.0,1281.412378334332,7200.0,0.0,True
S012-MED-01,T004,S012,医疗物资,True,True,22.0,1281.412378334332,3600.0,0.0,True
S012-WAT-01,T004,S012,饮用水,True,True,12.0,1281.412378334332,3600.0,0.0,True
S013-FOD-01,T008,S013,应急食品,False,False,10.0,2613.433733753268,7200.0,0.0,True
S013-MED-01,T008,S013,医疗物资,True,True,24.0,2613.433733753268,3600.0,0.0,True
S013-WAT-01,T008,S013,饮用水,True,True,12.0,2613.433733753268,3600.0,0.0,True
S014-FOD-01,T011,S014,应急食品,False,False,10.0,3173.3703509271445,7200.0,0.0,True
S014-MED-01,T011,S014,医疗物资,True,True,22.0,3173.3703509271445,3600.0,0.0,True
S014-WAT-01,T011,S014,饮用水,True,True,12.0,3173.3703509271445,3600.0,0.0,True
S015-FOD-01,T012,S015,应急食品,False,False,6.0,4273.999553722228,14400.0,0.0,True
S015-MED-01,T012,S015,医疗物资,True,True,18.0,4273.999553722228,7200.0,0.0,True
S015-WAT-01,T012,S015,饮用水,True,True,8.0,4273.999553722228,10800.0,0.0,True
