pattern_id,service_id,type_id,box_count,mass_kg,volume_m3,energy_kwh,flight_s,operation_s,return_soc,rho_max,medical_count,water_count,food_count,hygiene_count
S001-C-054,S001,C,4,20,0.087,2.02020477364,618.175045922,1362.17504592,0.747474403295,0.747474403295,2,0,1,1
S001-C-055,S001,C,4,22,0.08,2.03260432918,618.175045922,1362.17504592,0.745924458853,0.745924458853,2,0,2,0
S001-C-056,S001,C,4,26,0.086,2.05982999293,618.175045922,1362.17504592,0.742521250884,0.742521250884,2,1,0,1
S001-C-057,S001,C,4,28,0.079,2.07471059661,618.175045922,1362.17504592,0.740661175424,0.740661175424,2,1,1,0
S001-C-058,S001,C,4,34,0.078,2.1248667616,618.175045922,1362.17504592,0.7343916548,0.7343916548,2,2,0,0
S001-C-059,S001,C,5,36,0.154,2.14358052749,618.175045922,1428.17504592,0.732052434063,0.732052434063,0,0,3,2
S001-C-060,S001,C,5,42,0.153,2.20655004556,618.175045922,1428.17504592,0.724181244305,0.724181244305,0,1,2,2
S001-C-061,S001,C,5,44,0.146,2.23006788809,618.175045922,1428.17504592,0.721241513989,0.721241513989,0,1,3,1
S001-C-062,S001,C,5,48,0.152,2.28144808191,618.175045922,1428.17504592,0.714818989761,0.714818989761,0,2,1,2
S001-C-063,S001,C,5,50,0.145,2.30953432758,618.175045922,1428.17504592,0.711308209052,0.711308209052,0,2,2,1
S001-C-064,S001,C,5,52,0.138,2.33939029847,618.175045922,1428.17504592,0.707576212692,0.707576212692,0,2,3,0
S001-C-065,S001,C,5,54,0.151,2.37116545636,618.175045922,1428.17504592,0.703604317955,0.703604317955,0,3,0,2
S001-C-066,S001,C,5,56,0.144,2.40502836213,618.175045922,1428.17504592,0.699371454733,0.699371454733,0,3,1,1
S001-C-067,S001,C,5,58,0.137,2.44116964745,618.175045922,1428.17504592,0.694853794069,0.694853794069,0,3,2,0
S001-C-068,S001,C,5,62,0.143,2.52118236794,618.175045922,1428.17504592,0.684852204007,0.684852204007,0,4,0,1
S001-C-069,S001,C,5,64,0.136,2.56558136592,618.175045922,1428.17504592,0.67930232926,0.67930232926,0,4,1,0
S001-C-070,S001,C,5,70,0.135,2.7203965764,618.175045922,1428.17504592,0.659950427949,0.659950427949,0,5,0,0
S001-C-071,S001,C,5,31,0.138,2.09871414408,618.175045922,1428.17504592,0.73766073199,0.73766073199,1,0,2,2
S001-C-072,S001,C,5,33,0.131,2.11590033541,618.175045922,1428.17504592,0.735512458074,0.735512458074,1,0,3,1
S001-C-073,S001,C,5,37,0.137,2.15334283643,618.175045922,1428.17504592,0.730832145446,0.730832145446,1,1,1,2
S001-C-074,S001,C,5,39,0.13,2.17371912836,618.175045922,1428.17504592,0.728285108955,0.728285108955,1,1,2,1
S001-C-075,S001,C,5,41,0.123,2.19529112137,618.175045922,1428.17504592,0.725588609829,0.725588609829,1,1,3,0
S001-C-076,S001,C,5,43,0.136,2.21813848595,618.175045922,1428.17504592,0.722732689257,0.722732689257,1,2,0,2
S001-C-077,S001,C,5,45,0.129,2.2423503597,618.175045922,1428.17504592,0.719706205038,0.719706205038,1,2,1,1
S001-C-078,S001,C,5,47,0.122,2.26802650102,618.175045922,1428.17504592,0.716496687372,0.716496687372,1,2,2,0
S001-C-079,S001,C,5,51,0.128,2.32423217236,618.175045922,1428.17504592,0.709470978454,0.709470978454,1,3,0,1
S001-C-080,S001,C,5,53,0.121,2.35502792384,618.175045922,1428.17504592,0.70562150952,0.70562150952,1,3,1,0
S001-C-081,S001,C,5,59,0.12,2.46016115306,618.175045922,1428.17504592,0.692479855867,0.692479855867,1,4,0,0
S001-C-082,S001,C,5,26,0.122,2.05982999293,618.175045922,1428.17504592,0.742521250884,0.742521250884,2,0,1,2
S001-C-083,S001,C,5,28,0.115,2.07471059661,618.175045922,1428.17504592,0.740661175424,0.740661175424,2,0,2,1
S001-C-084,S001,C,5,30,0.108,2.09048187843,618.175045922,1428.17504592,0.738689765196,0.738689765196,2,0,3,0
S001-C-085,S001,C,5,32,0.121,2.10718494441,618.175045922,1428.17504592,0.736601881949,0.736601881949,2,1,0,2
S001-C-086,S001,C,5,34,0.114,2.1248667616,618.175045922,1428.17504592,0.7343916548,0.7343916548,2,1,1,1
S001-C-087,S001,C,5,36,0.107,2.14358052749,618.175045922,1428.17504592,0.732052434063,0.732052434063,2,1,2,0
S001-C-088,S001,C,5,40,0.113,2.18435089249,618.175045922,1428.17504592,0.726956138438,0.726956138438,2,2,0,1
S001-C-089,S001,C,5,42,0.106,2.20655004556,618.175045922,1428.17504592,0.724181244305,0.724181244305,2,2,1,0
S001-C-090,S001,C,5,48,0.105,2.28144808191,618.175045922,1428.17504592,0.714818989761,0.714818989761,2,3,0,0
S001-C-091,S001,C,6,50,0.181,2.30953432758,618.175045922,1494.17504592,0.711308209052,0.711308209052,0,1,3,2
S001-C-092,S001,C,6,56,0.18,2.40502836213,618.175045922,1494.17504592,0.699371454733,0.699371454733,0,2,2,2
S001-C-093,S001,C,6,58,0.173,2.44116964745,618.175045922,1494.17504592,0.694853794069,0.694853794069,0,2,3,1
S001-C-094,S001,C,6,62,0.179,2.52118236794,618.175045922,1494.17504592,0.684852204007,0.684852204007,0,3,1,2
S001-C-095,S001,C,6,64,0.172,2.56558136592,618.175045922,1494.17504592,0.67930232926,0.67930232926,0,3,2,1
S001-C-096,S001,C,6,66,0.165,2.61332544373,618.175045922,1494.17504592,0.673334319533,0.673334319533,0,3,3,0
S001-C-097,S001,C,6,68,0.178,2.66478679146,618.175045922,1494.17504592,0.666901651068,0.666901651068,0,4,0,2
S001-C-098,S001,C,6,70,0.171,2.7203965764,618.175045922,1494.17504592,0.659950427949,0.659950427949,0,4,1,1
S001-C-099,S001,C,6,72,0.164,2.78065697447,618.175045922,1494.17504592,0.652417878191,0.652417878191,0,4,2,0
S001-C-100,S001,C,6,76,0.17,2.91758809603,618.175045922,1494.17504592,0.635301487996,0.635301487996,0,5,0,1
S001-C-101,S001,C,6,78,0.163,2.99577580536,618.175045922,1494.17504592,0.62552802433,0.62552802433,0,5,1,0
S001-C-103,S001,C,6,39,0.166,2.17371912836,618.175045922,1494.17504592,0.728285108955,0.728285108955,1,0,3,2
S001-C-104,S001,C,6,45,0.165,2.2423503597,618.175045922,1494.17504592,0.719706205038,0.719706205038,1,1,2,2
S001-C-105,S001,C,6,47,0.158,2.26802650102,618.175045922,1494.17504592,0.716496687372,0.716496687372,1,1,3,1
S001-C-106,S001,C,6,51,0.164,2.32423217236,618.175045922,1494.17504592,0.709470978454,0.709470978454,1,2,1,2
S001-C-107,S001,C,6,53,0.157,2.35502792384,618.175045922,1494.17504592,0.70562150952,0.70562150952,1,2,2,1
S001-C-108,S001,C,6,55,0.15,2.38782458215,618.175045922,1494.17504592,0.701521927231,0.701521927231,1,2,3,0
S001-C-109,S001,C,6,57,0.163,2.42280133785,618.175045922,1494.17504592,0.697149832769,0.697149832769,1,3,0,2
S001-C-110,S001,C,6,59,0.156,2.46016115306,618.175045922,1494.17504592,0.692479855867,0.692479855867,1,3,1,1
S001-C-111,S001,C,6,61,0.149,2.50013467499,618.175045922,1494.17504592,0.687483165626,0.687483165626,1,3,2,0
S001-C-112,S001,C,6,65,0.155,2.58901326694,618.175045922,1494.17504592,0.676373341632,0.676373341632,1,4,0,1
S001-C-113,S001,C,6,67,0.148,2.63856602107,618.175045922,1494.17504592,0.670179247366,0.670179247366,1,4,1,0
S001-C-114,S001,C,6,73,0.147,2.81271114188,618.175045922,1494.17504592,0.648411107265,0.648411107265,1,5,0,0
S001-C-115,S001,C,6,34,0.15,2.1248667616,618.175045922,1494.17504592,0.7343916548,0.7343916548,2,0,2,2
S001-C-116,S001,C,6,36,0.143,2.14358052749,618.175045922,1494.17504592,0.732052434063,0.732052434063,2,0,3,1
S001-C-117,S001,C,6,40,0.149,2.18435089249,618.175045922,1494.17504592,0.726956138438,0.726956138438,2,1,1,2
S001-C-118,S001,C,6,42,0.142,2.20655004556,618.175045922,1494.17504592,0.724181244305,0.724181244305,2,1,2,1
S001-C-119,S001,C,6,44,0.135,2.23006788809,618.175045922,1494.17504592,0.721241513989,0.721241513989,2,1,3,0
S001-C-120,S001,C,6,46,0.148,2.25499871139,618.175045922,1494.17504592,0.718125161076,0.718125161076,2,2,0,2
S001-C-121,S001,C,6,48,0.141,2.28144808191,618.175045922,1494.17504592,0.714818989761,0.714818989761,2,2,1,1
S001-C-122,S001,C,6,50,0.134,2.30953432758,618.175045922,1494.17504592,0.711308209052,0.711308209052,2,2,2,0
S001-C-123,S001,C,6,54,0.14,2.37116545636,618.175045922,1494.17504592,0.703604317955,0.703604317955,2,3,0,1
S001-C-124,S001,C,6,56,0.133,2.40502836213,618.175045922,1494.17504592,0.699371454733,0.699371454733,2,3,1,0
S001-C-125,S001,C,6,62,0.132,2.52118236794,618.175045922,1494.17504592,0.684852204007,0.684852204007,2,4,0,0
S001-C-126,S001,C,7,64,0.208,2.56558136592,618.175045922,1560.17504592,0.67930232926,0.67930232926,0,2,3,2
S001-C-127,S001,C,7,70,0.207,2.7203965764,618.175045922,1560.17504592,0.659950427949,0.659950427949,0,3,2,2
S001-C-128,S001,C,7,72,0.2,2.78065697447,618.175045922,1560.17504592,0.652417878191,0.652417878191,0,3,3,1
S001-C-129,S001,C,7,76,0.206,2.91758809603,618.175045922,1560.17504592,0.635301487996,0.635301487996,0,4,1,2
S001-C-130,S001,C,7,78,0.199,2.99577580536,618.175045922,1560.17504592,0.62552802433,0.62552802433,0,4,2,1
S001-C-131,S001,C,7,80,0.192,3.08170436114,618.175045922,1560.17504592,0.614786954858,0.614786954858,0,4,3,0
S001-C-138,S001,C,7,53,0.193,2.35502792384,618.175045922,1560.17504592,0.70562150952,0.70562150952,1,1,3,2
S001-C-139,S001,C,7,59,0.192,2.46016115306,618.175045922,1560.17504592,0.692479855867,0.692479855867,1,2,2,2
S001-C-140,S001,C,7,61,0.185,2.50013467499,618.175045922,1560.17504592,0.687483165626,0.687483165626,1,2,3,1
S001-C-141,S001,C,7,65,0.191,2.58901326694,618.175045922,1560.17504592,0.676373341632,0.676373341632,1,3,1,2
S001-C-142,S001,C,7,67,0.184,2.63856602107,618.175045922,1560.17504592,0.670179247366,0.670179247366,1,3,2,1
S001-C-143,S001,C,7,69,0.177,2.69204356759,618.175045922,1560.17504592,0.663494554051,0.663494554051,1,3,3,0
S001-C-144,S001,C,7,71,0.19,2.7499109006,618.175045922,1560.17504592,0.656261137425,0.656261137425,1,4,0,2
S001-C-145,S001,C,7,73,0.183,2.81271114188,618.175045922,1560.17504592,0.648411107265,0.648411107265,1,4,1,1
S001-C-146,S001,C,7,75,0.176,2.88108253985,618.175045922,1560.17504592,0.639864682519,0.639864682519,1,4,2,0
S001-C-147,S001,C,7,79,0.182,3.03770355351,618.175045922,1560.17504592,0.620287055811,0.620287055811,1,5,0,1
S001-C-150,S001,C,7,42,0.178,2.20655004556,618.175045922,1560.17504592,0.724181244305,0.724181244305,2,0,3,2
S001-C-151,S001,C,7,48,0.177,2.28144808191,618.175045922,1560.17504592,0.714818989761,0.714818989761,2,1,2,2
S001-C-152,S001,C,7,50,0.17,2.30953432758,618.175045922,1560.17504592,0.711308209052,0.711308209052,2,1,3,1
S001-C-153,S001,C,7,54,0.176,2.37116545636,618.175045922,1560.17504592,0.703604317955,0.703604317955,2,2,1,2
S001-C-154,S001,C,7,56,0.169,2.40502836213,618.175045922,1560.17504592,0.699371454733,0.699371454733,2,2,2,1
S001-C-155,S001,C,7,58,0.162,2.44116964745,618.175045922,1560.17504592,0.694853794069,0.694853794069,2,2,3,0
S001-C-156,S001,C,7,60,0.175,2.47980558082,618.175045922,1560.17504592,0.690024302397,0.690024302397,2,3,0,2
S001-C-157,S001,C,7,62,0.168,2.52118236794,618.175045922,1560.17504592,0.684852204007,0.684852204007,2,3,1,1
S001-C-158,S001,C,7,64,0.161,2.56558136592,618.175045922,1560.17504592,0.67930232926,0.67930232926,2,3,2,0
S001-C-159,S001,C,7,68,0.167,2.66478679146,618.175045922,1560.17504592,0.666901651068,0.666901651068,2,4,0,1
S001-C-160,S001,C,7,70,0.16,2.7203965764,618.175045922,1560.17504592,0.659950427949,0.659950427949,2,4,1,0
S001-C-161,S001,C,7,76,0.159,2.91758809603,618.175045922,1560.17504592,0.635301487996,0.635301487996,2,5,0,0
S001-C-162,S001,C,8,78,0.235,2.99577580536,618.175045922,1626.17504592,0.62552802433,0.62552802433,0,3,3,2
S001-C-174,S001,C,8,67,0.22,2.63856602107,618.175045922,1626.17504592,0.670179247366,0.670179247366,1,2,3,2
S001-C-175,S001,C,8,73,0.219,2.81271114188,618.175045922,1626.17504592,0.648411107265,0.648411107265,1,3,2,2
S001-C-176,S001,C,8,75,0.212,2.88108253985,618.175045922,1626.17504592,0.639864682519,0.639864682519,1,3,3,1
S001-C-177,S001,C,8,79,0.218,3.03770355351,618.175045922,1626.17504592,0.620287055811,0.620287055811,1,4,1,2
S001-C-186,S001,C,8,56,0.205,2.40502836213,618.175045922,1626.17504592,0.699371454733,0.699371454733,2,1,3,2
S001-C-187,S001,C,8,62,0.204,2.52118236794,618.175045922,1626.17504592,0.684852204007,0.684852204007,2,2,2,2
S001-C-188,S001,C,8,64,0.197,2.56558136592,618.175045922,1626.17504592,0.67930232926,0.67930232926,2,2,3,1
S001-C-189,S001,C,8,68,0.203,2.66478679146,618.175045922,1626.17504592,0.666901651068,0.666901651068,2,3,1,2
S001-C-190,S001,C,8,70,0.196,2.7203965764,618.175045922,1626.17504592,0.659950427949,0.659950427949,2,3,2,1
S001-C-191,S001,C,8,72,0.189,2.78065697447,618.175045922,1626.17504592,0.652417878191,0.652417878191,2,3,3,0
S001-C-192,S001,C,8,74,0.202,2.84615628573,618.175045922,1626.17504592,0.644230464283,0.644230464283,2,4,0,2
S001-C-193,S001,C,8,76,0.195,2.91758809603,618.175045922,1626.17504592,0.635301487996,0.635301487996,2,4,1,1
S001-C-194,S001,C,8,78,0.188,2.99577580536,618.175045922,1626.17504592,0.62552802433,0.62552802433,2,4,2,0
S001-C-221,S001,C,9,70,0.232,2.7203965764,618.175045922,1692.17504592,0.659950427949,0.659950427949,2,2,3,2
S001-C-222,S001,C,9,76,0.231,2.91758809603,618.175045922,1692.17504592,0.635301487996,0.635301487996,2,3,2,2
S001-C-223,S001,C,9,78,0.224,2.99577580536,618.175045922,1692.17504592,0.62552802433,0.62552802433,2,3,3,1
S002-A-001,S002,A,1,6,0.035,2.77608760378,1433.77520846,1943.77520846,0.383091643605,0.383091643605,0,0,0,1
S002-B-001,S002,B,1,6,0.035,2.23047307319,1186.72408132,1696.72408132,0.442381731703,0.442381731703,0,0,0,1
S002-C-001,S002,C,1,6,0.035,4.66215409328,1231.84216605,1777.84216605,0.41723073834,0.41723073834,0,0,0,1
S002-A-002,S002,A,1,8,0.028,2.7954457371,1433.77520846,1943.77520846,0.3787898362,0.3787898362,0,0,1,0
S002-B-002,S002,B,1,8,0.028,2.25604619741,1186.72408132,1696.72408132,0.435988450648,0.435988450648,0,0,1,0
S002-C-002,S002,C,1,8,0.028,4.67752576248,1231.84216605,1777.84216605,0.41530927969,0.41530927969,0,0,1,0
S002-A-003,S002,A,1,14,0.027,2.87148910608,1433.77520846,1943.77520846,0.36189130976,0.36189130976,0,1,0,0
S002-B-003,S002,B,1,14,0.027,2.3613052176,1186.72408132,1696.72408132,0.409673695601,0.409673695601,0,1,0,0
S002-C-003,S002,C,1,14,0.027,4.73572085556,1231.84216605,1777.84216605,0.408034893055,0.408034893055,0,1,0,0
S002-A-004,S002,A,1,3,0.012,2.7530882103,1433.77520846,1943.77520846,0.388202619934,0.388202619934,1,0,0,0
S002-B-004,S002,B,1,3,0.012,2.20075833702,1186.72408132,1696.72408132,0.449810415744,0.449810415744,1,0,0,0
S002-C-004,S002,C,1,3,0.012,4.64354537753,1231.84216605,1777.84216605,0.419556827809,0.419556827809,1,0,0,0
S002-B-005,S002,B,2,14,0.063,2.3613052176,1186.72408132,1756.72408132,0.409673695601,0.409673695601,0,0,1,1
S002-C-005,S002,C,2,14,0.063,4.73572085556,1231.84216605,1843.84216605,0.408034893055,0.408034893055,0,0,1,1
S002-A-006,S002,A,2,16,0.056,2.90301290462,1433.77520846,2003.77520846,0.354886021197,0.354886021197,0,0,2,0
S002-B-006,S002,B,2,16,0.056,2.40727878006,1186.72408132,1756.72408132,0.398180304986,0.398180304986,0,0,2,0
S002-C-006,S002,C,2,16,0.056,4.75889626201,1231.84216605,1843.84216605,0.405137967249,0.405137967249,0,0,2,0
S002-B-007,S002,B,2,20,0.062,2.52002284388,1186.72408132,1756.72408132,0.369994289029,0.369994289029,0,1,0,1
S002-C-007,S002,C,2,20,0.062,4.81082132428,1231.84216605,1843.84216605,0.398647334465,0.398647334465,0,1,0,1
S002-A-008,S002,A,2,22,0.055,3.01874964953,1433.77520846,2003.77520846,0.32916674455,0.32916674455,0,1,1,0
S002-B-008,S002,B,2,22,0.055,2.58913853038,1186.72408132,1756.72408132,0.352715367404,0.352715367404,0,1,1,0
