scenario,flight_id,service_id,type_id,pattern_id,box_ids,box_count,mass_kg,volume_m3,flight_s,prepare_s,loading_s,handover_s,operation_s,energy_kwh,return_soc,reserve_fraction,max_safe_payload_kg,rated_mass_utilization,safe_mass_utilization,volume_utilization,energy_budget_utilization,out_horizontal_kwh,out_climb_kwh,back_horizontal_kwh,back_climb_kwh,medical_count,water_count,food_count,hygiene_count
rho_0.000,Q1-012,S009,B,S009-B-007,S009-MED-01;S009-WAT-01;S009-FOD-01,3,25,0.067,928.462864417,300,90,240,1558.46286442,2.09626540189,0.475933649528,0,30,0.833333333333,0.833333333333,0.917808219178,0.524066350472,1.209308581,0.0563640315551,0.815043349571,0.0155494397625,1,1,1,0
rho_0.000,Q1-013,S010,B,S010-B-007,S010-MED-01;S010-WAT-01;S010-FOD-01,3,25,0.067,925.403519709,300,90,240,1555.40351971,1.82321656412,0.544195858969,0,30,0.833333333333,0.833333333333,0.917808219178,0.455804141031,1.01417005969,0.104855063432,0.683524929429,0.0206665115722,1,1,1,0
rho_0.000,Q1-014,S011,B,S011-B-007,S011-MED-01;S011-WAT-01;S011-FOD-01,3,25,0.067,558.424762831,300,90,240,1188.42476283,1.07393668627,0.731515828432,0,30,0.833333333333,0.833333333333,0.917808219178,0.268484171568,0.595212368971,0.0570902831109,0.401158058857,0.0204759753335,1,1,1,0
rho_0.000,Q1-015,S012,B,S012-B-007,S012-MED-01;S012-WAT-01;S012-FOD-01,3,25,0.067,1292.82681425,300,90,240,1922.82681425,2.75259995448,0.311850011381,0,30,0.833333333333,0.833333333333,0.917808219178,0.688149988619,1.56664221378,0.0972496179388,1.05587716614,0.032830956619,1,1,1,0
rho_0.000,Q1-016,S013,B,S013-B-007,S013-MED-01;S013-WAT-01;S013-FOD-01,3,25,0.067,880.511588782,300,90,240,1510.51158878,1.82482819123,0.543792952192,0,30,0.833333333333,0.833333333333,0.917808219178,0.456207047808,1.02791842487,0.0924419175829,0.692790979286,0.0116768694963,1,1,1,0
rho_0.000,Q1-017,S014,B,S014-B-007,S014-MED-01;S014-WAT-01;S014-FOD-01,3,25,0.067,1239.74767529,300,90,240,1869.74767529,2.14029097817,0.464927255459,0,30,0.833333333333,0.833333333333,0.917808219178,0.535072744541,1.14873675231,0.158080265437,0.774219471429,0.0592544889943,1,1,1,0
rho_0.000,Q1-018,S015,B,S015-B-007,S015-MED-01;S015-WAT-01;S015-FOD-01,3,25,0.067,1198.32756016,300,90,240,1828.32756016,2.30752850568,0.423117873579,0,30,0.833333333333,0.833333333333,0.917808219178,0.576882126421,1.27384289393,0.151219651492,0.858537841714,0.023928118547,1,1,1,0
rho_0.100,Q1-001,S001,C,S001-C-100,S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-HYG-01,6,76,0.17,618.175045922,300,180,396,1494.17504592,2.91758809603,0.635301487996,0.1,80,0.95,0.95,0.68,0.405220568893,1.87409925967,0.0802371984274,0.939699571692,0.0235520662372,0,5,0,1
rho_0.100,Q1-002,S001,C,S001-C-223,S001-MED-01;S001-MED-02;S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-02,9,78,0.224,618.175045922,300,270,504,1692.17504592,2.99577580536,0.62552802433,0.1,80,0.975,0.975,0.896,0.416079972967,1.95118707595,0.0813370914833,0.939699571692,0.0235520662372,2,3,3,1
rho_0.100,Q1-003,S002,B,S002-B-022,S002-MED-01;S002-WAT-01;S002-FOD-01,3,25,0.067,1186.72408132,300,90,240,1816.72408132,2.7134729412,0.321631764699,0.1,30,0.833333333333,0.833333333333,0.917808219178,0.753742483668,1.57096489659,0.0617186469427,1.05879054486,0.0219988528144,1,1,1,0
rho_0.100,Q1-004,S002,C,S002-C-037,S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-02;S002-HYG-01,5,56,0.144,1231.84216605,300,150,360,2041.84216605,5.72135620385,0.284830474518,0.1,78.592218323,0.7,0.712538737231,0.576,0.794632806091,3.33088950377,0.0863375294454,2.28047194277,0.0236572278727,0,3,1,1
rho_0.100,Q1-005,S003,B,S003-B-022,S003-MED-01;S003-WAT-01;S003-FOD-01,3,25,0.067,1450.60966509,300,90,240,2080.60966509,2.78007803433,0.304980491419,0.1,30,0.833333333333,0.833333333333,0.917808219178,0.772243898424,1.53965663087,0.147816227322,1.03768956686,0.0549156092774,1,1,1,0
rho_0.100,Q1-006,S003,C,S003-C-037,S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-02;S003-HYG-01,5,56,0.144,1560.17771116,300,150,360,2370.17771116,5.76536469517,0.279329413103,0.1,78.2261928284,0.7,0.715872752786,0.576,0.800745096552,3.26450713335,0.206778477998,2.23502368246,0.0590554013614,0,3,1,1
rho_0.100,Q1-007,S004,C,S004-C-031,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,6,59,0.156,1425.05471881,300,180,396,2301.05471881,6.15286012898,0.230892483877,0.1,74.8851645825,0.7375,0.78787300968,0.624,0.854563906803,3.60223187268,0.131937649602,2.37374819877,0.0449424079364,1,3,1,1
rho_0.100,Q1-008,S005,C,S005-C-031,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,6,59,0.156,1001.18871553,300,180,396,1877.18871553,4.22213737338,0.472232828328,0.1,80,0.7375,0.7375,0.624,0.586407968525,2.46567812041,0.0969081407472,1.62479795969,0.03475315253,1,3,1,1
rho_0.100,Q1-009,S006,C,S006-C-031,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,6,59,0.156,685.552624484,300,180,396,1561.55262448,2.59793629019,0.675257963726,0.1,80,0.7375,0.7375,0.624,0.360824484749,1.48773826115,0.116262835547,0.980368877538,0.0135663159528,1,3,1,1
rho_0.100,Q1-010,S007,C,S007-C-023,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,5,45,0.129,1097.60069833,300,150,360,1907.60069833,3.41100380846,0.573624523942,0.1,80,0.5625,0.5625,0.516,0.473750528953,1.80542402488,0.167049729121,1.39529765385,0.0432324006141,1,2,1,1
rho_0.100,Q1-011,S008,C,S008-C-023,S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01,5,45,0.129,1389.71152467,300,150,360,2199.71152467,5.83602066813,0.270497416483,0.1,71.4380273882,0.5625,0.629916609476,0.516,0.81055842613,3.21656652402,0.10659644025,2.48588013815,0.0269775657099,1,2,1,1
rho_0.100,Q1-012,S009,B,S009-B-007,S009-MED-01;S009-WAT-01;S009-FOD-01,3,25,0.067,928.462864417,300,90,240,1558.46286442,2.09626540189,0.475933649528,0.1,30,0.833333333333,0.833333333333,0.917808219178,0.582295944969,1.209308581,0.0563640315551,0.815043349571,0.0155494397625,1,1,1,0
rho_0.100,Q1-013,S010,B,S010-B-007,S010-MED-01;S010-WAT-01;S010-FOD-01,3,25,0.067,925.403519709,300,90,240,1555.40351971,1.82321656412,0.544195858969,0.1,30,0.833333333333,0.833333333333,0.917808219178,0.50644904559,1.01417005969,0.104855063432,0.683524929429,0.0206665115722,1,1,1,0
rho_0.100,Q1-014,S011,B,S011-B-007,S011-MED-01;S011-WAT-01;S011-FOD-01,3,25,0.067,558.424762831,300,90,240,1188.42476283,1.07393668627,0.731515828432,0.1,30,0.833333333333,0.833333333333,0.917808219178,0.298315746187,0.595212368971,0.0570902831109,0.401158058857,0.0204759753335,1,1,1,0
rho_0.100,Q1-015,S012,B,S012-B-007,S012-MED-01;S012-WAT-01;S012-FOD-01,3,25,0.067,1292.82681425,300,90,240,1922.82681425,2.75259995448,0.311850011381,0.1,30,0.833333333333,0.833333333333,0.917808219178,0.764611098466,1.56664221378,0.0972496179388,1.05587716614,0.032830956619,1,1,1,0
rho_0.100,Q1-016,S013,B,S013-B-007,S013-MED-01;S013-WAT-01;S013-FOD-01,3,25,0.067,880.511588782,300,90,240,1510.51158878,1.82482819123,0.543792952192,0.1,30,0.833333333333,0.833333333333,0.917808219178,0.506896719786,1.02791842487,0.0924419175829,0.692790979286,0.0116768694963,1,1,1,0
rho_0.100,Q1-017,S014,B,S014-B-007,S014-MED-01;S014-WAT-01;S014-FOD-01,3,25,0.067,1239.74767529,300,90,240,1869.74767529,2.14029097817,0.464927255459,0.1,30,0.833333333333,0.833333333333,0.917808219178,0.594525271713,1.14873675231,0.158080265437,0.774219471429,0.0592544889943,1,1,1,0
rho_0.100,Q1-018,S015,B,S015-B-007,S015-MED-01;S015-WAT-01;S015-FOD-01,3,25,0.067,1198.32756016,300,90,240,1828.32756016,2.30752850568,0.423117873579,0.1,30,0.833333333333,0.833333333333,0.917808219178,0.640980140468,1.27384289393,0.151219651492,0.858537841714,0.023928118547,1,1,1,0
rho_0.150,Q1-001,S001,C,S001-C-100,S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-HYG-01,6,76,0.17,618.175045922,300,180,396,1494.17504592,2.91758809603,0.635301487996,0.15,80,0.95,0.95,0.68,0.429057072946,1.87409925967,0.0802371984274,0.939699571692,0.0235520662372,0,5,0,1
rho_0.150,Q1-002,S001,C,S001-C-223,S001-MED-01;S001-MED-02;S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-02,9,78,0.224,618.175045922,300,270,504,1692.17504592,2.99577580536,0.62552802433,0.15,80,0.975,0.975,0.896,0.440555265494,1.95118707595,0.0813370914833,0.939699571692,0.0235520662372,2,3,3,1
rho_0.150,Q1-003,S002,B,S002-B-022,S002-MED-01;S002-WAT-01;S002-FOD-01,3,25,0.067,1186.72408132,300,90,240,1816.72408132,2.7134729412,0.321631764699,0.15,30,0.833333333333,0.833333333333,0.917808219178,0.798080276825,1.57096489659,0.0617186469427,1.05879054486,0.0219988528144,1,1,1,0
rho_0.150,Q1-004,S002,C,S002-C-037,S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-02;S002-HYG-01,5,56,0.144,1231.84216605,300,150,360,2041.84216605,5.72135620385,0.284830474518,0.15,74.2392734359,0.7,0.754317727103,0.576,0.841375912331,3.33088950377,0.0863375294454,2.28047194277,0.0236572278727,0,3,1,1
rho_0.150,Q1-005,S003,B,S003-B-022,S003-MED-01;S003-WAT-01;S003-FOD-01,3,25,0.067,1450.60966509,300,90,240,2080.60966509,2.78007803433,0.304980491419,0.15,30,0.833333333333,0.833333333333,0.917808219178,0.817670010096,1.53965663087,0.147816227322,1.03768956686,0.0549156092774,1,1,1,0
rho_0.150,Q1-006,S003,C,S003-C-037,S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-02;S003-HYG-01,5,56,0.144,1560.17771116,300,150,360,2370.17771116,5.76536469517,0.279329413103,0.15,73.7464067066,0.7,0.759359031862,0.576,0.84784774929,3.26450713335,0.206778477998,2.23502368246,0.0590554013614,0,3,1,1
rho_0.150,Q1-007,S004,C,S004-C-031,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,6,59,0.156,1425.05471881,300,180,396,2301.05471881,6.15286012898,0.230892483877,0.15,69.9144075804,0.7375,0.843889007172,0.624,0.904832371909,3.60223187268,0.131937649602,2.37374819877,0.0449424079364,1,3,1,1
rho_0.150,Q1-008,S005,C,S005-C-031,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,6,59,0.156,1001.18871553,300,180,396,1877.18871553,4.22213737338,0.472232828328,0.15,80,0.7375,0.7375,0.624,0.620902554908,2.46567812041,0.0969081407472,1.62479795969,0.03475315253,1,3,1,1
rho_0.150,Q1-009,S006,C,S006-C-031,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,6,59,0.156,685.552624484,300,180,396,1561.55262448,2.59793629019,0.675257963726,0.15,80,0.7375,0.7375,0.624,0.38204945444,1.48773826115,0.116262835547,0.980368877538,0.0135663159528,1,3,1,1
rho_0.150,Q1-010,S007,C,S007-C-023,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,5,45,0.129,1097.60069833,300,150,360,1907.60069833,3.41100380846,0.573624523942,0.15,80,0.5625,0.5625,0.516,0.501618207127,1.80542402488,0.167049729121,1.39529765385,0.0432324006141,1,2,1,1
rho_0.150,Q1-011,S008,C,S008-C-023,S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01,5,45,0.129,1389.71152467,300,150,360,2199.71152467,5.83602066813,0.270497416483,0.15,65.9024472685,0.5625,0.68282744974,0.516,0.858238333549,3.21656652402,0.10659644025,2.48588013815,0.0269775657099,1,2,1,1
rho_0.150,Q1-012,S009,B,S009-B-007,S009-MED-01;S009-WAT-01;S009-FOD-01,3,25,0.067,928.462864417,300,90,240,1558.46286442,2.09626540189,0.475933649528,0.15,30,0.833333333333,0.833333333333,0.917808219178,0.616548647614,1.209308581,0.0563640315551,0.815043349571,0.0155494397625,1,1,1,0
rho_0.150,Q1-013,S010,B,S010-B-007,S010-MED-01;S010-WAT-01;S010-FOD-01,3,25,0.067,925.403519709,300,90,240,1555.40351971,1.82321656412,0.544195858969,0.15,30,0.833333333333,0.833333333333,0.917808219178,0.536240165918,1.01417005969,0.104855063432,0.683524929429,0.0206665115722,1,1,1,0
rho_0.150,Q1-014,S011,B,S011-B-007,S011-MED-01;S011-WAT-01;S011-FOD-01,3,25,0.067,558.424762831,300,90,240,1188.42476283,1.07393668627,0.731515828432,0.15,30,0.833333333333,0.833333333333,0.917808219178,0.315863731257,0.595212368971,0.0570902831109,0.401158058857,0.0204759753335,1,1,1,0
rho_0.150,Q1-015,S012,B,S012-B-007,S012-MED-01;S012-WAT-01;S012-FOD-01,3,25,0.067,1292.82681425,300,90,240,1922.82681425,2.75259995448,0.311850011381,0.15,30,0.833333333333,0.833333333333,0.917808219178,0.809588221905,1.56664221378,0.0972496179388,1.05587716614,0.032830956619,1,1,1,0
rho_0.150,Q1-016,S013,B,S013-B-007,S013-MED-01;S013-WAT-01;S013-FOD-01,3,25,0.067,880.511588782,300,90,240,1510.51158878,1.82482819123,0.543792952192,0.15,30,0.833333333333,0.833333333333,0.917808219178,0.536714173891,1.02791842487,0.0924419175829,0.692790979286,0.0116768694963,1,1,1,0
rho_0.150,Q1-017,S014,B,S014-B-007,S014-MED-01;S014-WAT-01;S014-FOD-01,3,25,0.067,1239.74767529,300,90,240,1869.74767529,2.14029097817,0.464927255459,0.15,30,0.833333333333,0.833333333333,0.917808219178,0.629497346519,1.14873675231,0.158080265437,0.774219471429,0.0592544889943,1,1,1,0
rho_0.150,Q1-018,S015,B,S015-B-007,S015-MED-01;S015-WAT-01;S015-FOD-01,3,25,0.067,1198.32756016,300,90,240,1828.32756016,2.30752850568,0.423117873579,0.15,30,0.833333333333,0.833333333333,0.917808219178,0.678684854613,1.27384289393,0.151219651492,0.858537841714,0.023928118547,1,1,1,0
rho_0.200,Q1-001,S001,C,S001-C-100,S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-HYG-01,6,76,0.17,618.175045922,300,180,396,1494.17504592,2.91758809603,0.635301487996,0.2,80,0.95,0.95,0.68,0.455873140005,1.87409925967,0.0802371984274,0.939699571692,0.0235520662372,0,5,0,1
rho_0.200,Q1-002,S001,C,S001-C-223,S001-MED-01;S001-MED-02;S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-02,9,78,0.224,618.175045922,300,270,504,1692.17504592,2.99577580536,0.62552802433,0.2,80,0.975,0.975,0.896,0.468089969588,1.95118707595,0.0813370914833,0.939699571692,0.0235520662372,2,3,3,1
rho_0.200,Q1-003,S002,B,S002-B-022,S002-MED-01;S002-WAT-01;S002-FOD-01,3,25,0.067,1186.72408132,300,90,240,1816.72408132,2.7134729412,0.321631764699,0.2,30,0.833333333333,0.833333333333,0.917808219178,0.847960294126,1.57096489659,0.0617186469427,1.05879054486,0.0219988528144,1,1,1,0
rho_0.200,Q1-004,S002,C,S002-C-037,S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-02;S002-HYG-01,5,56,0.144,1231.84216605,300,150,360,2041.84216605,5.72135620385,0.284830474518,0.2,68.8581041088,0.7,0.813266655026,0.576,0.893961906852,3.33088950377,0.0863375294454,2.28047194277,0.0236572278727,0,3,1,1
rho_0.200,Q1-005,S003,B,S003-B-022,S003-MED-01;S003-WAT-01;S003-FOD-01,3,25,0.067,1450.60966509,300,90,240,2080.60966509,2.78007803433,0.304980491419,0.2,30,0.833333333333,0.833333333333,0.917808219178,0.868774385727,1.53965663087,0.147816227322,1.03768956686,0.0549156092774,1,1,1,0
rho_0.200,Q1-006,S003,C,S003-C-037,S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-02;S003-HYG-01,5,56,0.144,1560.17771116,300,150,360,2370.17771116,5.76536469517,0.279329413103,0.2,68.1995418428,0.7,0.82111988566,0.576,0.900838233621,3.26450713335,0.206778477998,2.23502368246,0.0590554013614,0,3,1,1
rho_0.200,Q1-007,S004,C,S004-C-031,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,6,59,0.156,1425.05471881,300,180,396,2301.05471881,6.15286012898,0.230892483877,0.2,63.6982509526,0.7375,0.926242072862,0.624,0.961384395154,3.60223187268,0.131937649602,2.37374819877,0.0449424079364,1,3,1,1
rho_0.200,Q1-008,S005,C,S005-C-031,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,6,59,0.156,1001.18871553,300,180,396,1877.18871553,4.22213737338,0.472232828328,0.2,80,0.7375,0.7375,0.624,0.65970896459,2.46567812041,0.0969081407472,1.62479795969,0.03475315253,1,3,1,1
rho_0.200,Q1-009,S006,C,S006-C-031,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,6,59,0.156,685.552624484,300,180,396,1561.55262448,2.59793629019,0.675257963726,0.2,80,0.7375,0.7375,0.624,0.405927545342,1.48773826115,0.116262835547,0.980368877538,0.0135663159528,1,3,1,1
rho_0.200,Q1-010,S007,C,S007-C-023,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,5,45,0.129,1097.60069833,300,150,360,1907.60069833,3.41100380846,0.573624523942,0.2,80,0.5625,0.5625,0.516,0.532969345073,1.80542402488,0.167049729121,1.39529765385,0.0432324006141,1,2,1,1
rho_0.200,Q1-011,S008,C,S008-C-023,S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01,5,45,0.129,1389.71152467,300,150,360,2199.71152467,5.83602066813,0.270497416483,0.2,58.9041660082,0.5625,0.763952756647,0.516,0.911878229396,3.21656652402,0.10659644025,2.48588013815,0.0269775657099,1,2,1,1
rho_0.200,Q1-012,S009,B,S009-B-007,S009-MED-01;S009-WAT-01;S009-FOD-01,3,25,0.067,928.462864417,300,90,240,1558.46286442,2.09626540189,0.475933649528,0.2,30,0.833333333333,0.833333333333,0.917808219178,0.65508293809,1.209308581,0.0563640315551,0.815043349571,0.0155494397625,1,1,1,0
rho_0.200,Q1-013,S010,B,S010-B-007,S010-MED-01;S010-WAT-01;S010-FOD-01,3,25,0.067,925.403519709,300,90,240,1555.40351971,1.82321656412,0.544195858969,0.2,30,0.833333333333,0.833333333333,0.917808219178,0.569755176288,1.01417005969,0.104855063432,0.683524929429,0.0206665115722,1,1,1,0
rho_0.200,Q1-014,S011,B,S011-B-007,S011-MED-01;S011-WAT-01;S011-FOD-01,3,25,0.067,558.424762831,300,90,240,1188.42476283,1.07393668627,0.731515828432,0.2,30,0.833333333333,0.833333333333,0.917808219178,0.33560521446,0.595212368971,0.0570902831109,0.401158058857,0.0204759753335,1,1,1,0
rho_0.200,Q1-015,S012,B,S012-B-007,S012-MED-01;S012-WAT-01;S012-FOD-01,3,25,0.067,1292.82681425,300,90,240,1922.82681425,2.75259995448,0.311850011381,0.2,30,0.833333333333,0.833333333333,0.917808219178,0.860187485774,1.56664221378,0.0972496179388,1.05587716614,0.032830956619,1,1,1,0
rho_0.200,Q1-016,S013,B,S013-B-007,S013-MED-01;S013-WAT-01;S013-FOD-01,3,25,0.067,880.511588782,300,90,240,1510.51158878,1.82482819123,0.543792952192,0.2,30,0.833333333333,0.833333333333,0.917808219178,0.570258809759,1.02791842487,0.0924419175829,0.692790979286,0.0116768694963,1,1,1,0
rho_0.200,Q1-017,S014,B,S014-B-007,S014-MED-01;S014-WAT-01;S014-FOD-01,3,25,0.067,1239.74767529,300,90,240,1869.74767529,2.14029097817,0.464927255459,0.2,30,0.833333333333,0.833333333333,0.917808219178,0.668840930677,1.14873675231,0.158080265437,0.774219471429,0.0592544889943,1,1,1,0
rho_0.200,Q1-018,S015,B,S015-B-007,S015-MED-01;S015-WAT-01;S015-FOD-01,3,25,0.067,1198.32756016,300,90,240,1828.32756016,2.30752850568,0.423117873579,0.2,30,0.833333333333,0.833333333333,0.917808219178,0.721102658026,1.27384289393,0.151219651492,0.858537841714,0.023928118547,1,1,1,0
rho_0.225,Q1-001,S001,C,S001-C-100,S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-HYG-01,6,76,0.17,618.175045922,300,180,396,1494.17504592,2.91758809603,0.635301487996,0.225,80,0.95,0.95,0.68,0.470578725166,1.87409925967,0.0802371984274,0.939699571692,0.0235520662372,0,5,0,1
rho_0.225,Q1-002,S001,C,S001-C-223,S001-MED-01;S001-MED-02;S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-02,9,78,0.224,618.175045922,300,270,504,1692.17504592,2.99577580536,0.62552802433,0.225,80,0.975,0.975,0.896,0.483189646026,1.95118707595,0.0813370914833,0.939699571692,0.0235520662372,2,3,3,1
rho_0.225,Q1-003,S002,B,S002-B-022,S002-MED-01;S002-WAT-01;S002-FOD-01,3,25,0.067,1186.72408132,300,90,240,1816.72408132,2.7134729412,0.321631764699,0.225,30,0.833333333333,0.833333333333,0.917808219178,0.875313852001,1.57096489659,0.0617186469427,1.05879054486,0.0219988528144,1,1,1,0
rho_0.225,Q1-004,S002,C,S002-C-037,S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-02;S002-HYG-01,5,56,0.144,1231.84216605,300,150,360,2041.84216605,5.72135620385,0.284830474518,0.225,65.6552545167,0.7,0.852940109854,0.576,0.922799387718,3.33088950377,0.0863375294454,2.28047194277,0.0236572278727,0,3,1,1
rho_0.225,Q1-005,S003,B,S003-B-022,S003-MED-01;S003-WAT-01;S003-FOD-01,3,25,0.067,1450.60966509,300,90,240,2080.60966509,2.78007803433,0.304980491419,0.225,30,0.833333333333,0.833333333333,0.917808219178,0.896799365911,1.53965663087,0.147816227322,1.03768956686,0.0549156092774,1,1,1,0
