box_id,service_id,delivery_s,expected_s,hard_deadline_s,priority,type_id,aircraft_id,battery_id,route_index,flight_id
S015-FOD-01,S015,4141.33964063,14400,,6,B,U06,BAT-B-01,18,Q3-T-014
S015-MED-01,S015,4141.33964063,7200,7200,18,B,U06,BAT-B-01,18,Q3-T-014
S015-WAT-01,S015,4141.33964063,10800,10800,8,B,U06,BAT-B-01,18,Q3-T-014
S009-FOD-01,S009,4428.70868276,14400,,6,B,U05,BAT-B-02,12,Q3-T-015
S009-MED-01,S009,4428.70868276,10800,10800,16,B,U05,BAT-B-02,12,Q3-T-015
S009-WAT-01,S009,4428.70868276,10800,10800,8,B,U05,BAT-B-02,12,Q3-T-015
S011-FOD-01,S011,5658.4624688,14400,,6,B,U06,BAT-B-03,15,Q3-T-017
S011-MED-01,S011,5658.4624688,10800,10800,16,B,U06,BAT-B-03,15,Q3-T-017
S011-WAT-01,S011,5658.4624688,10800,10800,8,B,U06,BAT-B-03,15,Q3-T-017
S008-FOD-01,S008,5742.56009882,10800,,8,C,U08,BAT-C-02,11,Q3-T-016
S008-HYG-01,S008,5742.56009882,14400,,6,C,U08,BAT-C-02,11,Q3-T-016
S008-MED-01,S008,5742.56009882,7200,7200,20,C,U08,BAT-C-02,11,Q3-T-016
S008-WAT-01,S008,5742.56009882,7200,7200,10,C,U08,BAT-C-02,11,Q3-T-016
S008-WAT-02,S008,5742.56009882,7200,,10,C,U08,BAT-C-02,11,Q3-T-016
S005-FOD-01,S005,7364.34299819,14400,,6,C,U07,BAT-C-01,8,Q3-T-018
S005-HYG-01,S005,7364.34299819,18000,,4,C,U07,BAT-C-01,8,Q3-T-018
S005-MED-01,S005,7364.34299819,10800,10800,16,C,U07,BAT-C-01,8,Q3-T-018
S005-WAT-01,S005,7364.34299819,10800,10800,8,C,U07,BAT-C-01,8,Q3-T-018
S005-WAT-02,S005,7364.34299819,10800,,8,C,U07,BAT-C-01,8,Q3-T-018
S005-WAT-03,S005,7364.34299819,10800,,8,C,U07,BAT-C-01,8,Q3-T-018
S003-FOD-02,S003,6485.6253967,10800,,8,B,U05,BAT-B-04,6,Q3-T-019
S003-HYG-01,S003,6485.6253967,14400,,6,B,U05,BAT-B-04,6,Q3-T-019
S001-FOD-01,S001,9050.57487892,7200,,10,C,U07,BAT-C-03,1,Q3-T-020
S001-WAT-02,S001,9050.57487892,3600,,12,C,U07,BAT-C-03,1,Q3-T-020
S001-WAT-03,S001,9050.57487892,3600,,12,C,U07,BAT-C-03,1,Q3-T-020
S001-WAT-04,S001,9050.57487892,3600,,12,C,U07,BAT-C-03,1,Q3-T-020
S001-WAT-05,S001,9050.57487892,3600,,12,C,U07,BAT-C-03,1,Q3-T-020
S001-WAT-06,S001,9050.57487892,3600,,12,C,U07,BAT-C-03,1,Q3-T-020
S006-FOD-01,S006,9658.26790426,7200,,10,C,U08,BAT-C-04,19,Q3-T-021
S006-HYG-01,S006,9658.26790426,10800,,8,C,U08,BAT-C-04,19,Q3-T-021
S006-WAT-02,S006,9658.26790426,3600,,12,C,U08,BAT-C-04,19,Q3-T-021
S006-WAT-03,S006,9658.26790426,3600,,12,C,U08,BAT-C-04,19,Q3-T-021
S007-FOD-01,S007,10344.5866926,7200,,10,C,U08,BAT-C-04,19,Q3-T-021
S007-HYG-01,S007,10344.5866926,10800,,8,C,U08,BAT-C-04,19,Q3-T-021
S007-WAT-02,S007,10344.5866926,3600,,12,C,U08,BAT-C-04,19,Q3-T-021
S001-FOD-02,S001,11027.4037509,7200,,10,C,U07,BAT-C-01,2,Q3-T-022
S001-FOD-03,S001,11027.4037509,7200,,10,C,U07,BAT-C-01,2,Q3-T-022
S001-HYG-01,S001,11027.4037509,10800,,8,C,U07,BAT-C-01,2,Q3-T-022
S001-HYG-02,S001,11027.4037509,10800,,8,C,U07,BAT-C-01,2,Q3-T-022
S001-WAT-07,S001,11027.4037509,3600,,12,C,U07,BAT-C-01,2,Q3-T-022
S001-WAT-08,S001,11027.4037509,3600,,12,C,U07,BAT-C-01,2,Q3-T-022
