trip_id,aircraft_model,aircraft_id,battery_id,start_time_s,return_time_s,battery_ready_time_s,duration_s,energy_kwh,return_soc_percent,total_mass_kg,total_volume_m3,stop_count,stop_sequence,box_count,box_ids
T008,A,U03,BA06,2114.0,4061.0582578135095,5390.964464393146,1947.0582578135095,2.8727522535448937,36.161061032335695,14.0,0.027,1,S002,1,S002-WAT-01
T057,B,U05,BB01,2281.0,4006.697855183627,5479.415784485636,1725.6978551836269,1.8601182983892515,53.497042540268716,14.0,0.027,1,S014,1,S014-WAT-01
T006,A,U01,BA02,2734.0,3924.899502077302,4777.206937257087,1190.899502077302,1.2195257371607946,72.89942806309345,14.0,0.027,1,S001,1,S001-WAT-01
T068,C,U08,BC01,3199.0,5125.070378124524,7332.401055366448,1926.070378124524,5.073220962124031,36.58473797344961,3.0,0.012,1,S008,1,S008-MED-01
T038,B,U06,BB04,3257.0,5217.52330354347,6875.716457244135,1960.5233035434708,2.2881380470015347,42.79654882496163,6.0,0.035,1,S003,1,S003-HYG-01
T010,A,U04,BA05,3765.0,5967.6292787620205,7314.510660992972,2202.629278762021,2.9315124769532916,34.85527828992685,14.0,0.027,1,S003,1,S003-WAT-01
T070,C,U07,BC02,3808.0,5320.5680372066,7123.524599412875,1512.5680372066,3.5801473066077865,55.24815866740267,3.0,0.012,1,S009,1,S009-MED-01
T012,A,U01,BA01,4346.0,6464.800185367184,7805.091413878796,2118.800185367184,2.908700406386348,35.36221319141448,3.0,0.012,1,S004,1,S004-MED-01
T039,B,U06,BB02,5218.0,7178.52330354347,8822.835608693355,1960.5233035434708,2.2561053195766565,43.59736701058359,3.0,0.012,1,S003,1,S003-MED-01
T069,C,U07,BC04,5321.0,7247.070378124524,9482.09106454829,1926.070378124524,5.1754609960262155,35.306737549672306,14.0,0.027,1,S008,1,S008-WAT-01
T016,A,U03,BA06,5392.0,6648.877425080662,7508.3388524918755,1256.8774250806614,1.2442895564234333,72.34912096836814,6.0,0.035,1,S006,1,S006-HYG-01
T058,B,U05,BB01,5480.0,7308.276637426976,8974.839527950082,1828.276637426976,2.3074528242840895,42.31367939289776,25.0,0.067,1,S015,3,S015-MED-01|S015-WAT-01|S015-FOD-01
T064,C,U08,BC03,5935.0,7906.0566924832,10086.997656201545,1971.0566924832005,4.975782019883122,37.80272475146097,14.0,0.027,1,S004,1,S004-WAT-01
T051,B,U06,BB03,7179.0,9012.984088655123,10800.437093512455,1833.9840886551233,2.586430011209228,35.33924971976929,14.0,0.027,1,S008,1,S008-WAT-02
T071,C,U07,BC02,7248.0,8760.5680372066,10583.034938189718,1512.5680372066,3.652185480553051,54.34768149308687,14.0,0.027,1,S009,1,S009-WAT-01
T042,B,U05,BB04,7309.0,8765.170228301822,10143.92775114435,1456.1702283018226,1.6432865911750638,58.9178352206234,8.0,0.028,1,S005,1,S005-FOD-01
T022,A,U01,BA05,7315.0,8477.022946657878,9295.218808706662,1162.0229466578785,1.10144721478425,75.52339522701666,8.0,0.028,1,S011,1,S011-FOD-01
T002,A,U03,BA06,7509.0,8699.899502077302,9542.691049332823,1190.899502077302,1.1865861251152634,73.63141944188303,8.0,0.028,1,S001,1,S001-FOD-03
T007,A,U04,BA01,7806.0,8996.899502077302,9849.206937257088,1190.899502077302,1.2195257371607946,72.89942806309345,14.0,0.027,1,S001,1,S001-WAT-08
T066,C,U08,BC01,7907.0,9454.19052452578,11212.188119563438,1547.1905245257808,3.414144966292892,57.32318792133885,14.0,0.027,1,S005,1,S005-WAT-01
T040,B,U05,BB02,8824.0,10784.52330354347,12501.641442464266,1960.5233035434708,2.424118782124915,39.397030446877125,14.0,0.027,1,S003,1,S003-WAT-02
T055,B,U06,BB01,9013.0,10081.420472235157,11125.715854734557,1068.420472235157,0.8714508826909235,78.21372793272691,3.0,0.012,1,S011,1,S011-MED-01
T065,C,U08,BC04,9484.0,11031.19052452578,12770.616585834705,1547.1905245257808,3.345573149448337,58.18033563189579,3.0,0.012,1,S005,1,S005-MED-01
T001,A,U04,BA06,9543.0,10733.899502077302,11576.691049332823,1190.899502077302,1.1865861251152634,73.63141944188303,8.0,0.028,1,S001,1,S001-FOD-01
T023,A,U01,BA01,9850.0,11012.022946657878,11839.191589325923,1162.0229466578785,1.1325068400047704,74.83318133322732,14.0,0.027,1,S011,1,S011-WAT-01
T048,B,U06,BB04,10145.0,11646.399438693967,12945.575025609049,1501.399438693966,1.4596359698040358,63.50910075489911,6.0,0.035,1,S007,1,S007-HYG-01
T037,B,U05,BB03,10801.0,12761.52330354347,14431.417795980986,1960.5233035434708,2.315141136394266,42.121471590143344,8.0,0.028,1,S003,1,S003-FOD-01
T062,C,U08,BC02,11032.0,13138.091349604669,15260.125513897407,2106.0913496046687,4.758279991234723,40.52150010956596,14.0,0.027,1,S003,1,S003-WAT-04
T061,C,U07,BC01,11213.0,12994.887268848464,15095.363046151528,1781.887268848464,4.678679793118999,41.516502586012514,8.0,0.028,1,S002,1,S002-FOD-01
T052,B,U06,BB01,11647.0,13085.44173308876,14507.16834024071,1438.4417330887613,1.742446016504502,56.43884958738745,8.0,0.028,1,S009,1,S009-FOD-01
T011,A,U01,BA01,11841.0,14043.62927876202,15390.510660992972,2202.629278762021,2.9315124769532916,34.85527828992685,14.0,0.027,1,S003,1,S003-WAT-03
T056,B,U05,BB02,12762.0,14584.964756668664,16246.884353328776,1822.9647566686642,2.2967375307541067,42.58156173114733,8.0,0.028,1,S012,1,S012-FOD-01
T063,C,U07,BC03,12995.0,14966.0566924832,17130.08787131831,1971.0566924832005,4.913345891083474,38.58317636145657,8.0,0.028,1,S004,1,S004-FOD-01
T046,B,U06,BB04,13086.0,14236.670485800207,15365.936416170773,1150.6704858002063,1.067536762393613,73.31158094015969,14.0,0.027,1,S006,1,S006-WAT-02
T060,C,U08,BC04,13139.0,14303.16907732916,15674.824308406398,1164.1690773291593,1.9876500839774989,75.15437395028127,14.0,0.027,1,S001,1,S001-WAT-05
T049,B,U06,BB01,14508.0,16009.399438693967,17346.71528006476,1501.399438693966,1.5476519416249115,61.30870145937721,14.0,0.027,1,S007,1,S007-WAT-02
T041,B,U05,BB03,14585.0,16446.64363706328,18137.118154655025,1861.6436370632787,2.3626335021347953,40.93416244663012,6.0,0.035,1,S004,1,S004-HYG-01
T059,C,U08,BC01,15096.0,16260.16907732916,17631.824308406398,1164.1690773291593,1.9876500839774989,75.15437395028127,14.0,0.027,1,S001,1,S001-WAT-03
T009,A,U01,BA01,15391.0,17593.629278762022,18917.29936440738,2202.629278762021,2.8511656810800847,36.64076264266478,8.0,0.028,1,S003,1,S003-FOD-02
T031,B,U06,BB02,16247.0,17336.10020729335,18439.122622359497,1089.100207293352,1.0069748039987942,74.82562990003015,14.0,0.027,1,S001,1,S001-WAT-06
T075,C,U08,BC04,16261.0,18134.762462931023,19931.034921321214,1873.762462931023,3.5554675386714725,55.556655766606596,8.0,0.028,1,S014,1,S014-FOD-01
T050,B,U05,BB04,16447.0,18280.984088655125,20006.08156188485,1833.9840886551233,2.442532630530137,38.93668423674658,6.0,0.035,1,S008,1,S008-HYG-01
T047,B,U06,BB01,17348.0,18498.670485800205,19627.93641617077,1150.6704858002063,1.067536762393613,73.31158094015969,14.0,0.027,1,S006,1,S006-WAT-03
T036,B,U05,BB03,18281.0,19981.01457597737,21671.42957740203,1700.01457597737,2.3624961571338323,40.93759607165419,14.0,0.027,1,S002,1,S002-WAT-03
T030,B,U06,BB02,18499.0,19588.10020729335,20691.122622359497,1089.100207293352,1.0069748039987942,74.82562990003015,14.0,0.027,1,S001,1,S001-WAT-04
T013,A,U01,BA01,18918.0,21036.800185367185,22413.680668264693,2118.800185367184,3.0353555177221425,32.54765516173017,14.0,0.027,1,S004,1,S004-WAT-02
T067,C,U07,BC01,19327.0,20562.72565140893,21954.755733194175,1235.7256514089302,2.062880301976288,74.21399622529641,8.0,0.028,1,S006,1,S006-FOD-01
T035,B,U05,BB01,19982.0,21682.01457597737,23372.42957740203,1700.01457597737,2.3624961571338323,40.93759607165419,14.0,0.027,1,S002,1,S002-WAT-02
T032,B,U06,BB04,20007.0,21096.10020729335,22199.122622359497,1089.100207293352,1.0069748039987942,74.82562990003015,14.0,0.027,1,S001,1,S001-WAT-07
T034,B,U05,BB03,21683.0,23383.01457597737,25016.706770763853,1700.01457597737,2.231597372584194,44.21006568539515,6.0,0.035,1,S002,1,S002-HYG-01
T014,A,U01,BA01,22414.0,24532.800185367185,25909.680668264693,2118.800185367184,3.0353555177221425,32.54765516173017,14.0,0.027,1,S004,1,S004-WAT-03
T027,B,U06,BB01,23374.0,24463.10020729335,25546.632093640925,1089.100207293352,0.9619966608020939,75.95008347994765,8.0,0.028,1,S001,1,S001-FOD-02
T044,B,U05,BB01,25548.0,27004.170228301824,28416.11081262968,1456.1702283018226,1.7198628869104358,57.00342782723911,14.0,0.027,1,S005,1,S005-WAT-02
T021,A,U01,BA01,25910.0,28013.285192402564,29397.139139226092,2103.2851924025626,3.0594944313122197,32.011234859728454,8.0,0.028,1,S008,1,S008-FOD-01
T043,B,U05,BB01,28417.0,29873.170228301824,31243.803874354035,1456.1702283018226,1.6245391831974092,59.38652042006477,6.0,0.035,1,S005,1,S005-HYG-01
T015,A,U01,BA01,29398.0,31030.190459530924,32132.80104234417,1632.1904595309243,2.0859597097381597,53.64533978359645,14.0,0.027,1,S005,1,S005-WAT-03
T053,B,U05,BB01,31245.0,32680.37956583113,34003.81411608711,1435.3795658311299,1.5156181928984134,62.10954517753966,8.0,0.028,1,S010,1,S010-FOD-01
T025,A,U01,BA01,32134.0,33676.68308175196,34716.222585630436,1542.6830817519603,1.8676367441947346,58.49696124011701,8.0,0.028,1,S013,1,S013-FOD-01
T029,B,U05,BB01,34005.0,35094.100207293355,36197.1226223595,1089.100207293352,1.0069748039987942,74.82562990003015,14.0,0.027,1,S001,1,S001-WAT-02
T003,A,U04,BA01,34717.0,35907.8995020773,36748.23208856838,1190.899502077302,1.1780743378537417,73.82057026991686,6.0,0.035,1,S001,1,S001-HYG-01
T004,A,U04,BA01,36749.0,37939.8995020773,38780.23208856838,1190.899502077302,1.1780743378537417,73.82057026991686,6.0,0.035,1,S001,1,S001-HYG-02
